# Time          5.0000E+01
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    7.0649995E+01    2.9258689E+01    2.1964866E-03    2.6690200E-01    0.0000000E+00    4.0216808E-01    8.8660000E-01    2.5649807E+01    1.5083842E+00    3.3444555E+00    1.9683779E+01    6.2149311E+02    7.5544719E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.7000000E-01    7.0649996E+01    2.9259419E+01    2.1979243E-03    2.6690485E-01    0.0000000E+00    3.9842798E-01    8.8660000E-01    2.5649807E+01    1.5084143E+00    3.3508417E+00    1.9683779E+01    6.2150610E+02    7.5544731E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    4.5000000E-01    7.0649996E+01    2.9261857E+01    2.2027726E-03    2.6691370E-01    0.0000000E+00    3.9842829E-01    8.8660000E-01    2.5649807E+01    1.5084495E+00    3.3511241E+00    1.9683779E+01    6.2151828E+02    7.5544743E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    6.3000000E-01    7.0649997E+01    2.9264727E+01    2.2085720E-03    2.6692438E-01    0.0000000E+00    3.9842865E-01    8.8660000E-01    2.5649807E+01    1.5084867E+00    3.3501184E+00    1.9683779E+01    6.2153034E+02    7.5544757E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    8.1000000E-01    7.0649998E+01    2.9267566E+01    2.2144151E-03    2.6693547E-01    0.0000000E+00    3.9842900E-01    8.8660000E-01    2.5649807E+01    1.5085302E+00    3.3492787E+00    1.9683779E+01    6.2154218E+02    7.5544773E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    9.9000000E-01    7.0649998E+01    2.9270222E+01    2.2199813E-03    2.6694653E-01    0.0000000E+00    3.9842934E-01    8.8660000E-01    2.5649807E+01    1.5085814E+00    3.3486694E+00    1.9683779E+01    6.2155370E+02    7.5544790E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.1700000E+00    7.0649999E+01    2.9272649E+01    2.2251550E-03    2.6695743E-01    0.0000000E+00    3.9842966E-01    8.8660000E-01    2.5649807E+01    1.5086399E+00    3.3482009E+00    1.9683779E+01    6.2156487E+02    7.5544808E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.3500000E+00    7.0650000E+01    2.9274829E+01    2.2298786E-03    2.6696814E-01    0.0000000E+00    3.9842996E-01    8.8660000E-01    2.5649807E+01    1.5087051E+00    3.3478189E+00    1.9683779E+01    6.2157569E+02    7.5544827E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.5300000E+00    7.0650000E+01    2.9276748E+01    2.2340977E-03    2.6697863E-01    0.0000000E+00    3.9843021E-01    8.8660000E-01    2.5649807E+01    1.5087763E+00    3.3474981E+00    1.9683779E+01    6.2158618E+02    7.5544848E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.7100000E+00    7.0650000E+01    2.9278381E+01    2.2377368E-03    2.6698883E-01    0.0000000E+00    3.9843043E-01    8.8660000E-01    2.5649807E+01    1.5088527E+00    3.3472280E+00    1.9683779E+01    6.2159636E+02    7.5544869E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.8900000E+00    7.0650000E+01    2.9279690E+01    2.2406835E-03    2.6699864E-01    0.0000000E+00    3.9843059E-01    8.8660000E-01    2.5649807E+01    1.5089340E+00    3.3470063E+00    1.9683779E+01    6.2160629E+02    7.5544892E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.0700000E+00    5.4640000E+01    4.2320002E+01    2.2432148E-03    3.6834174E-01    0.0000000E+00    4.5068320E-01    1.1820000E+00    2.3189826E+01    1.5352141E+00    2.6564145E+00    1.2359582E+01    5.5945321E+02    7.5544922E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.2500000E+00    5.4640000E+01    4.2321320E+01    2.2453005E-03    3.6835836E-01    0.0000000E+00    4.5068323E-01    1.1820000E+00    2.3189826E+01    1.5354303E+00    2.6563770E+00    1.2359582E+01    5.5946441E+02    7.5544954E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.4300000E+00    5.4640000E+01    4.2322493E+01    2.2471690E-03    3.6837453E-01    0.0000000E+00    4.5068325E-01    1.1820000E+00    2.3189826E+01    1.5356197E+00    2.6561679E+00    1.2359582E+01    5.5947538E+02    7.5544986E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.6100000E+00    5.4640000E+01    4.2323569E+01    2.2488927E-03    3.6839089E-01    0.0000000E+00    4.5068325E-01    1.1820000E+00    2.3189826E+01    1.5358074E+00    2.6559681E+00    1.2359582E+01    5.5948614E+02    7.5545020E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
