# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.7607E+00
  2.7000E-01    5.7633E+00
  4.5000E-01    5.7744E+00
  6.3000E-01    5.7883E+00
  8.1000E-01    5.8025E+00
  9.9000E-01    5.8164E+00
  1.1700E+00    5.8295E+00
  1.3500E+00    5.8416E+00
  1.5300E+00    5.8526E+00
  1.7100E+00    5.8622E+00
  1.8900E+00    5.8700E+00
  2.0700E+00    5.8769E+00
  2.2500E+00    5.8825E+00
  2.4300E+00    5.8876E+00
  2.6100E+00    5.8924E+00
  2.7900E+00    5.8968E+00
  2.9700E+00    5.9010E+00
  3.1500E+00    5.9050E+00
  3.3300E+00    5.9088E+00
  3.5100E+00    5.9124E+00
  3.6900E+00    5.9159E+00
  3.8700E+00    5.9191E+00
  4.0500E+00    5.9223E+00
  4.2300E+00    5.9252E+00
  4.4100E+00    5.9281E+00
  4.5900E+00    5.9308E+00
  4.7700E+00    5.9334E+00
  4.9500E+00    5.9358E+00
  5.1300E+00    5.9382E+00
  5.3100E+00    5.9405E+00
  5.4900E+00    5.9427E+00
  5.6700E+00    5.9447E+00
  5.8500E+00    5.9467E+00
  6.0300E+00    5.9487E+00
  6.2100E+00    5.9505E+00
  6.3900E+00    5.9524E+00
  6.5700E+00    5.9541E+00
  6.7500E+00    5.9559E+00
  6.9300E+00    5.9577E+00
  7.1100E+00    5.9596E+00
  7.2900E+00    5.9616E+00
  7.4700E+00    5.9638E+00
  7.6500E+00    5.9664E+00
  7.8300E+00    5.9694E+00
  8.0100E+00    5.9733E+00
  8.1900E+00    5.9783E+00
  8.3700E+00    5.9840E+00
  8.5500E+00    5.9898E+00
  8.7300E+00    5.9958E+00
  8.9100E+00    6.0018E+00
  9.0900E+00    6.0077E+00
  9.2700E+00    6.0136E+00
  9.4500E+00    6.0193E+00
  9.6300E+00    6.0250E+00
  9.8100E+00    6.0306E+00
  9.9900E+00    6.0361E+00
  1.0170E+01    6.0415E+00
  1.0350E+01    6.0468E+00
  1.0530E+01    6.0520E+00
  1.0710E+01    6.0572E+00
  1.0890E+01    6.0622E+00
  1.1070E+01    6.0672E+00
  1.1250E+01    6.0721E+00
  1.1430E+01    6.0769E+00
  1.1610E+01    6.0816E+00
  1.1790E+01    6.0862E+00
  1.1970E+01    6.0906E+00
  1.2150E+01    6.0950E+00
  1.2330E+01    6.0991E+00
  1.2510E+01    6.1014E+00
  1.2690E+01    6.1038E+00
  1.2870E+01    6.1061E+00
  1.3050E+01    6.1084E+00
  1.3230E+01    6.1107E+00
  1.3410E+01    6.1129E+00
  1.3590E+01    6.1152E+00
  1.3770E+01    6.1174E+00
  1.3950E+01    6.1197E+00
  1.4130E+01    6.1219E+00
  1.4310E+01    6.1241E+00
  1.4490E+01    6.1262E+00
  1.4670E+01    6.1284E+00
  1.4850E+01    6.1306E+00
  1.5030E+01    6.1327E+00
  1.5210E+01    6.1348E+00
  1.5390E+01    6.1369E+00
  1.5570E+01    6.1390E+00
  1.5750E+01    6.1411E+00
  1.5930E+01    6.1432E+00
  1.6110E+01    6.1453E+00
  1.6290E+01    6.1473E+00
  1.6470E+01    6.1494E+00
  1.6650E+01    6.1514E+00
  1.6830E+01    6.1534E+00
  1.7010E+01    6.1553E+00
  1.7190E+01    6.1573E+00
  1.7370E+01    6.1592E+00
  1.7550E+01    6.1610E+00
  1.7730E+01    6.1628E+00
  1.7910E+01    6.1645E+00
