# Time          5.0000E+01
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.3399997E+01    1.0948701E+01    7.8688413E-02    2.9949823E-01    0.0000000E+00    6.1572915E+00    9.0000000E-01    1.1499870E+01    5.8995494E+00    7.8137988E+00    1.2899928E+01    9.9988962E+00    9.2924592E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    2.7000000E-01    2.3399998E+01    1.0949111E+01    7.8765691E-02    2.9950302E-01    0.0000000E+00    6.1000296E+00    9.0000000E-01    1.1499870E+01    5.8996671E+00    7.8287190E+00    1.2899928E+01    9.9991052E+00    9.2924606E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    4.5000000E-01    2.3399998E+01    1.0950480E+01    7.9026483E-02    2.9951791E-01    0.0000000E+00    6.1000344E+00    9.0000000E-01    1.1499870E+01    5.8998050E+00    7.8293790E+00    1.2899928E+01    9.9993011E+00    9.2924621E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    6.3000000E-01    2.3399999E+01    1.0952091E+01    7.9338805E-02    2.9953590E-01    0.0000000E+00    6.1000398E+00    9.0000000E-01    1.1499870E+01    5.8999504E+00    7.8270293E+00    1.2899928E+01    9.9994951E+00    9.2924639E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    8.1000000E-01    2.3399999E+01    1.0953685E+01    7.9653899E-02    2.9955457E-01    0.0000000E+00    6.1000453E+00    9.0000000E-01    1.1499870E+01    5.9001205E+00    7.8250673E+00    1.2899928E+01    9.9996856E+00    9.2924658E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    9.9000000E-01    2.3399999E+01    1.0955176E+01    7.9954447E-02    2.9957318E-01    0.0000000E+00    6.1000505E+00    9.0000000E-01    1.1499870E+01    5.9003206E+00    7.8236438E+00    1.2899928E+01    9.9998710E+00    9.2924678E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.1700000E+00    2.3399999E+01    1.0956539E+01    8.0234139E-02    2.9959154E-01    0.0000000E+00    6.1000554E+00    9.0000000E-01    1.1499870E+01    5.9005496E+00    7.8225493E+00    1.2899928E+01    1.0000051E+01    9.2924701E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.3500000E+00    2.3400000E+01    1.0957763E+01    8.0489784E-02    2.9960957E-01    0.0000000E+00    6.1000599E+00    9.0000000E-01    1.1499870E+01    5.9008046E+00    7.8216567E+00    1.2899928E+01    1.0000225E+01    9.2924724E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.5300000E+00    2.3400000E+01    1.0958841E+01    8.0718355E-02    2.9962723E-01    0.0000000E+00    6.1000638E+00    9.0000000E-01    1.1499870E+01    5.9010829E+00    7.8209072E+00    1.2899928E+01    1.0000393E+01    9.2924750E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.7100000E+00    2.3400000E+01    1.0959758E+01    8.0915681E-02    2.9964440E-01    0.0000000E+00    6.1000671E+00    9.0000000E-01    1.1499870E+01    5.9013819E+00    7.8202762E+00    1.2899928E+01    1.0000557E+01    9.2924777E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.8900000E+00    2.3400000E+01    1.0960493E+01    8.1075574E-02    2.9966092E-01    0.0000000E+00    6.1000696E+00    9.0000000E-01    1.1499870E+01    5.9016998E+00    7.8197582E+00    1.2899928E+01    1.0000717E+01    9.2924804E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
