# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    4.5439778E-08    4.2189731E-07    6.2178636E-06    3.5519796E-06
    2.7000000E-01    5.8403602E-08    6.1086707E-07    6.1581979E-06    3.5106521E-06
    4.5000000E-01    6.8159663E-08    8.0533939E-07    6.1060750E-06    3.4600434E-06
    6.3000000E-01    7.5998062E-08    9.7372599E-07    6.0612114E-06    3.4162758E-06
    8.1000000E-01    8.2547563E-08    1.1106495E-06    6.0246146E-06    3.3807041E-06
    9.9000000E-01    8.8197675E-08    1.2192997E-06    5.9954316E-06    3.3523742E-06
    1.1700000E+00    9.3212967E-08    1.3052001E-06    5.9721656E-06    3.3298761E-06
    1.3500000E+00    9.7775328E-08    1.3736596E-06    5.9533713E-06    3.3118986E-06
    1.5300000E+00    1.0201063E-07    1.4289156E-06    5.9379034E-06    3.2973963E-06
    1.7100000E+00    1.0600715E-07    1.4741228E-06    5.9249203E-06    3.2855820E-06
    1.8900000E+00    1.0983357E-07    1.5113154E-06    5.9137404E-06    3.2760799E-06
    2.0700000E+00    2.9111222E-10    3.5316623E-09    1.4655745E-08    8.4325319E-09
    2.2500000E+00    3.0685612E-10    3.3128002E-09    1.4556462E-08    8.6327849E-09
    2.4300000E+00    3.2189835E-10    3.1160816E-09    1.4478296E-08    8.8012793E-09
    2.6100000E+00    3.3630972E-10    2.9374800E-09    1.4415918E-08    8.9453083E-09
    2.7900000E+00    3.5014755E-10    2.7739822E-09    1.4365575E-08    9.0700918E-09
    2.9700000E+00    3.6345907E-10    2.6232787E-09    1.4324558E-08    9.1794630E-09
    3.1500000E+00    3.7628376E-10    2.4835626E-09    1.4290868E-08    9.2762990E-09
    3.3300000E+00    3.8865503E-10    2.3533957E-09    1.4263000E-08    9.3628016E-09
    3.5100000E+00    4.0060146E-10    2.2316152E-09    1.4239804E-08    9.4406833E-09
    3.6900000E+00    4.1214773E-10    2.1172688E-09    1.4220389E-08    9.5112966E-09
    3.8700000E+00    4.2331530E-10    2.0095669E-09    1.4204053E-08    9.5757230E-09
    4.0500000E+00    4.3412298E-10    1.9078480E-09    1.4190242E-08    9.6348377E-09
    4.2300000E+00    4.4458734E-10    1.8115529E-09    1.4178506E-08    9.6893567E-09
    4.4100000E+00    4.5472304E-10    1.7202047E-09    1.4168487E-08    9.7398708E-09
    4.5900000E+00    4.6454310E-10    1.6333937E-09    1.4159886E-08    9.7868722E-09
    4.7700000E+00    4.7405914E-10    1.5507654E-09    1.4152463E-08    9.8307739E-09
    4.9500000E+00    4.8328150E-10    1.4720115E-09    1.4146015E-08    9.8719249E-09
    5.1300000E+00    4.9221946E-10    1.3968618E-09    1.4140374E-08    9.9106225E-09
    5.3100000E+00    5.0088129E-10    1.3250790E-09    1.4135400E-08    9.9471209E-09
    5.4900000E+00    5.0927443E-10    1.2564533E-09    1.4130975E-08    9.9816390E-09
    5.6700000E+00    5.1740547E-10    1.1907983E-09    1.4126997E-08    1.0014366E-08
    5.8500000E+00    5.2528032E-10    1.1279483E-09    1.4123382E-08    1.0045468E-08
    6.0300000E+00    5.3290421E-10    1.0677550E-09    1.4120056E-08    1.0075087E-08
    6.2100000E+00    5.4028177E-10    1.0100854E-09    1.4116957E-08    1.0103349E-08
    6.3900000E+00    5.4741704E-10    9.5482027E-10    1.4114031E-08    1.0130367E-08
    6.5700000E+00    5.5431356E-10    9.0185170E-10    1.4111232E-08    1.0156237E-08
    6.7500000E+00    5.6097434E-10    8.5108243E-10    1.4108520E-08    1.0181046E-08
    6.9300000E+00    5.6740194E-10    8.0242434E-10    1.4105860E-08    1.0204872E-08
    7.1100000E+00    5.7359847E-10    7.5579747E-10    1.4103223E-08    1.0227783E-08
    7.2900000E+00    5.7956560E-10    7.1112914E-10    1.4100582E-08    1.0249840E-08
    7.4700000E+00    5.8530460E-10    6.6835314E-10    1.4097915E-08    1.0271097E-08
