# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    2.9714149E-08    4.4968657E-07    6.3538168E-06    3.4032112E-06
    2.7000000E-01    3.0023432E-08    3.5054986E-07    6.2411372E-06    3.5739217E-06
    4.5000000E-01    3.1195946E-08    2.9892705E-07    6.2335976E-06    3.6057986E-06
    6.3000000E-01    3.2585544E-08    2.6722034E-07    6.2401361E-06    3.6143119E-06
    8.1000000E-01    3.4012822E-08    2.4644281E-07    6.2469795E-06    3.6172078E-06
    9.9000000E-01    3.5419990E-08    2.3283870E-07    6.2523304E-06    3.6179975E-06
    1.1700000E+00    3.6789222E-08    2.2462411E-07    6.2561879E-06    3.6175605E-06
    1.3500000E+00    3.8117677E-08    2.2090219E-07    6.2587214E-06    3.6161905E-06
    1.5300000E+00    3.9408311E-08    2.2121357E-07    6.2600488E-06    3.6140106E-06
    1.7100000E+00    4.0666019E-08    2.2531592E-07    6.2602382E-06    3.6110796E-06
    1.8900000E+00    4.1895964E-08    2.3305542E-07    6.2593177E-06    3.6074477E-06
    2.0700000E+00    1.1015307E-10    5.6110042E-10    1.5463212E-08    9.2152775E-09
    2.2500000E+00    1.1515908E-10    5.4196213E-10    1.5303991E-08    9.3809027E-09
    2.4300000E+00    1.1982959E-10    5.2488800E-10    1.5167397E-08    9.5234013E-09
    2.6100000E+00    1.2420474E-10    5.0951924E-10    1.5048803E-08    9.6472273E-09
    2.7900000E+00    1.2831847E-10    4.9558032E-10    1.4944866E-08    9.7558164E-09
    2.9700000E+00    1.3219913E-10    4.8285362E-10    1.4853033E-08    9.8518152E-09
    3.1500000E+00    1.3587061E-10    4.7116448E-10    1.4771313E-08    9.9372910E-09
    3.3300000E+00    1.3935321E-10    4.6037097E-10    1.4698129E-08    1.0013882E-08
    3.5100000E+00    1.4266439E-10    4.5035643E-10    1.4632218E-08    1.0082901E-08
    3.6900000E+00    1.4581923E-10    4.4102402E-10    1.4572553E-08    1.0145418E-08
    3.8700000E+00    1.4883090E-10    4.3229262E-10    1.4518293E-08    1.0202306E-08
    4.0500000E+00    1.5171094E-10    4.2409372E-10    1.4468741E-08    1.0254291E-08
    4.2300000E+00    1.5446954E-10    4.1636905E-10    1.4423316E-08    1.0301979E-08
    4.4100000E+00    1.5711575E-10    4.0906870E-10    1.4381528E-08    1.0345878E-08
    4.5900000E+00    1.5965763E-10    4.0214965E-10    1.4342964E-08    1.0386422E-08
    4.7700000E+00    1.6210241E-10    3.9557462E-10    1.4307268E-08    1.0423979E-08
    4.9500000E+00    1.6445658E-10    3.8931115E-10    1.4274137E-08    1.0458865E-08
    5.1300000E+00    1.6672602E-10    3.8333081E-10    1.4243309E-08    1.0491354E-08
    5.3100000E+00    1.6891603E-10    3.7760860E-10    1.4214557E-08    1.0521684E-08
    5.4900000E+00    1.7103146E-10    3.7212247E-10    1.4187681E-08    1.0550061E-08
    5.6700000E+00    1.7307671E-10    3.6685285E-10    1.4162507E-08    1.0576666E-08
    5.8500000E+00    1.7505580E-10    3.6178236E-10    1.4138884E-08    1.0601660E-08
    6.0300000E+00    1.7697244E-10    3.5689546E-10    1.4116675E-08    1.0625184E-08
    6.2100000E+00    1.7883003E-10    3.5217826E-10    1.4095760E-08    1.0647362E-08
    6.3900000E+00    1.8063168E-10    3.4761826E-10    1.4076033E-08    1.0668305E-08
    6.5700000E+00    1.8238029E-10    3.4320424E-10    1.4057399E-08    1.0688114E-08
    6.7500000E+00    1.8407854E-10    3.3892604E-10    1.4039771E-08    1.0706877E-08
    6.9300000E+00    1.8572890E-10    3.3477447E-10    1.4023074E-08    1.0724675E-08
    7.1100000E+00    1.8733367E-10    3.3074121E-10    1.4007238E-08    1.0741578E-08
    7.2900000E+00    1.8889500E-10    3.2681867E-10    1.3992200E-08    1.0757653E-08
    7.4700000E+00    1.9041487E-10    3.2299994E-10    1.3977904E-08    1.0772958E-08
    7.6500000E+00    1.9189515E-10    3.1927874E-10    1.3964300E-08    1.0787547E-08
    7.8300000E+00    1.9333756E-10    3.1564929E-10    1.3951339E-08    1.0801468E-08
    8.0100000E+00    1.9474375E-10    3.1210707E-10    1.3938979E-08    1.0814766E-08
    8.1900000E+00    3.1421261E-08    5.0066155E-08    2.2279065E-06    1.7322725E-06
    8.3700000E+00    3.1678918E-08    5.0219857E-08    2.2254238E-06    1.7345224E-06
    8.5500000E+00    3.1930691E-08    5.0394923E-08    2.2227101E-06    1.7369961E-06
    8.7300000E+00    3.2176812E-08    5.0590576E-08    2.2198105E-06    1.7396487E-06
    8.9100000E+00    3.2417491E-08    5.0806054E-08    2.2167770E-06    1.7424288E-06
    9.0900000E+00    3.2652924E-08    5.1040611E-08    2.2136611E-06    1.7452847E-06
    9.2700000E+00    3.2883294E-08    5.1293516E-08    2.2105100E-06    1.7481697E-06
    9.4500000E+00    3.3108776E-08    5.1564045E-08    2.2073630E-06    1.7510449E-06
    9.6300000E+00    3.3329538E-08    5.1851483E-08    2.2042505E-06    1.7538798E-06
    9.8100000E+00    3.3545742E-08    5.2155122E-08    2.2011949E-06    1.7566526E-06
    9.9900000E+00    3.3757545E-08    5.2474260E-08    2.1982102E-06    1.7593493E-06
    1.0170000E+01    3.3965098E-08    5.2808199E-08    2.1953042E-06    1.7619624E-06
    1.0350000E+01    3.4168547E-08    5.3156240E-08    2.1924796E-06    1.7644897E-06
    1.0530000E+01    3.4368032E-08    5.3517688E-08    2.1897348E-06    1.7669328E-06
    1.0710000E+01    3.4563688E-08    5.3891849E-08    2.1870661E-06    1.7692959E-06
    1.0890000E+01    3.4755643E-08    5.4278025E-08    2.1844681E-06    1.7715844E-06
    1.1070000E+01    3.4944020E-08    5.4675522E-08    2.1819355E-06    1.7738041E-06
    1.1250000E+01    3.5128938E-08    5.5083641E-08    2.1794637E-06    1.7759598E-06
    1.1430000E+01    3.5310510E-08    5.5501683E-08    2.1770494E-06    1.7780552E-06
    1.1610000E+01    3.5488845E-08    5.5928949E-08    2.1746916E-06    1.7800915E-06
    1.1790000E+01    3.5664052E-08    5.6364734E-08    2.1723913E-06    1.7820679E-06
    1.1970000E+01    3.5836246E-08    5.6808332E-08    2.1701519E-06    1.7839815E-06
    1.2150000E+01    3.6005552E-08    5.7259029E-08    2.1679788E-06    1.7858273E-06
    1.2330000E+01    3.6172082E-08    5.7716199E-08    2.1658789E-06    1.7875984E-06
    1.2510000E+01    2.2558689E-08    3.6745410E-08    1.3526766E-06    1.1178563E-06
    1.2690000E+01    2.2511331E-08    3.7408285E-08    1.3517454E-06    1.1184838E-06
    1.2870000E+01    2.2464673E-08    3.8057911E-08    1.3508357E-06    1.1190906E-06
    1.3050000E+01    2.2418743E-08    3.8694654E-08    1.3499515E-06    1.1196780E-06
    1.3230000E+01    2.2373524E-08    3.9318829E-08    1.3490938E-06    1.1202448E-06
    1.3410000E+01    2.2328996E-08    3.9930732E-08    1.3482636E-06    1.1207900E-06
    1.3590000E+01    2.2285140E-08    4.0530646E-08    1.3474617E-06    1.1213127E-06
    1.3770000E+01    2.2241938E-08    4.1118845E-08    1.3466889E-06    1.1218118E-06
    1.3950000E+01    2.2199374E-08    4.1695589E-08    1.3459457E-06    1.1222868E-06
    1.4130000E+01    2.2157430E-08    4.2261129E-08    1.3452326E-06    1.1227369E-06
    1.4310000E+01    2.2116090E-08    4.2815707E-08    1.3445500E-06    1.1231618E-06
    1.4490000E+01    2.2075340E-08    4.3359556E-08    1.3438980E-06    1.1235612E-06
    1.4670000E+01    2.2035164E-08    4.3892903E-08    1.3432766E-06    1.1239351E-06
    1.4850000E+01    2.1995549E-08    4.4415967E-08    1.3426855E-06    1.1242834E-06
    1.5030000E+01    2.1956480E-08    4.4928959E-08    1.3421244E-06    1.1246065E-06
    1.5210000E+01    2.1917945E-08    4.5432086E-08    1.3415930E-06    1.1249047E-06
    1.5390000E+01    2.1879931E-08    4.5925547E-08    1.3410909E-06    1.1251782E-06
    1.5570000E+01    2.1842425E-08    4.6409532E-08    1.3406176E-06    1.1254273E-06
    1.5750000E+01    2.1805415E-08    4.6884230E-08    1.3401729E-06    1.1256522E-06
    1.5930000E+01    2.1768890E-08    4.7349822E-08    1.3397571E-06    1.1258526E-06
    1.6110000E+01    2.1732838E-08    4.7806483E-08    1.3393708E-06    1.1260277E-06
    1.6290000E+01    2.1697247E-08    4.8254383E-08    1.3390155E-06    1.1261760E-06
    1.6470000E+01    2.1662104E-08    4.8693684E-08    1.3386938E-06    1.1262948E-06
    1.6650000E+01    2.1627397E-08    4.9124543E-08    1.3384094E-06    1.1263803E-06
    1.6830000E+01    2.1593113E-08    4.9547110E-08    1.3381681E-06    1.1264267E-06
    1.7010000E+01    2.1559236E-08    4.9961527E-08    1.3379774E-06    1.1264263E-06
    1.7190000E+01    2.1525752E-08    5.0367933E-08    1.3378473E-06    1.1263692E-06
    1.7370000E+01    2.1492644E-08    5.0766460E-08    1.3377904E-06    1.1262425E-06
    1.7550000E+01    2.1459894E-08    5.1157245E-08    1.3378224E-06    1.1260308E-06
    1.7730000E+01    2.1427482E-08    5.1540426E-08    1.3379616E-06    1.1257155E-06
    1.7910000E+01    2.1395394E-08    5.1916104E-08    1.3382295E-06    1.1252752E-06
