# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997416946365E-05   7.24993722241981E-05   3.48273096898046E-09   6.81014883263504E-06   4.32000001154023E-05   1.21002886046544E-05   8.78999670842440E-07   5.27999905728828E-09   5.96998981712398E+00   2.77204128794699E-03   3.43448864190988E-04
  2.00000E-09                2.88997400361156E-05   7.24993681075967E-05   3.48546300685099E-09   6.81014786275800E-06   4.32000002308030E-05   1.21002868613146E-05   8.78999341685486E-07   5.27999811457805E-09   5.96998938602090E+00   2.77204145181306E-03   3.43448840925216E-04
  3.00000E-09                2.88997384016320E-05   7.24993640267067E-05   3.48819397599600E-09   6.81014688260850E-06   4.32000003462171E-05   1.21002850979976E-05   8.78999012528817E-07   5.27999717186600E-09   5.96998907810650E+00   2.77204174579291E-03   3.43448817663834E-04
  4.00000E-09                2.88997366910497E-05   7.24993597479915E-05   3.49092494428019E-09   6.81014594884738E-06   4.32000004616326E-05   1.21002834255916E-05   8.78998683372513E-07   5.27999622915432E-09   5.96998884125001E+00   2.77204212056615E-03   3.43448794381653E-04
  5.00000E-09                2.88997349347414E-05   7.24993553503863E-05   3.49365591150188E-09   6.81014504320092E-06   4.32000005770495E-05   1.21002818082649E-05   8.78998354216531E-07   5.27999528644295E-09   5.96998864732084E+00   2.77204254414613E-03   3.43448771086965E-04
  7.00000E-09                2.88997313199471E-05   7.24993462935511E-05   3.49912104341121E-09   6.81014329324339E-06   4.32000008078787E-05   1.21002786938165E-05   8.78997695905908E-07   5.27999340102156E-09   5.96998833300880E+00   2.77204347621131E-03   3.43448724470447E-04
  1.10000E-08                2.88997240438858E-05   7.24993280518172E-05   3.51004061827228E-09   6.81013982258349E-06   4.32000012695750E-05   1.21002725223162E-05   8.78996379288374E-07   5.27998963018023E-09   5.96998778712018E+00   2.77204543160767E-03   3.43448631226205E-04
  1.90000E-08                2.88997094403049E-05   7.24992914336445E-05   3.53188822377954E-09   6.81013291300964E-06   4.32000021929855E-05   1.21002602415175E-05   8.78993746070802E-07   5.27998208850962E-09   5.96998674861178E+00   2.77204940325164E-03   3.43448444732054E-04
  3.50000E-08                2.88996801975987E-05   7.24992181077453E-05   3.57558311456478E-09   6.81011911499691E-06   4.32000040399566E-05   1.21002357213280E-05   8.78988479703402E-07   5.27996700521161E-09   5.96998468940107E+00   2.77205736653475E-03   3.43448071768755E-04
  6.70000E-08                2.88996216998231E-05   7.24990714253792E-05   3.66297168082634E-09   6.81009152635365E-06   4.32000077344692E-05   1.21001866953946E-05   8.78977947239484E-07   5.27993683878831E-09   5.96998057454091E+00   2.77207329400260E-03   3.43447325976901E-04
  1.31000E-07                2.88995047050058E-05   7.24987780626082E-05   3.83774508755653E-09   6.81003635198699E-06   4.32000151255429E-05   1.21000886489582E-05   8.78956883394941E-07   5.27987650663261E-09   5.96997234751429E+00   2.77210513805967E-03   3.43445834944509E-04
  2.59000E-07                2.88992707250657E-05   7.24981913612885E-05   4.18729291564609E-09   6.80992600874354E-06   4.32000299140241E-05   1.20998925658675E-05   8.78914760037183E-07   5.27975584508469E-09   5.96995590332060E+00   2.77216878134437E-03   3.43442855085878E-04
  5.15000E-07                2.88988028055735E-05   7.24970180595143E-05   4.88618570982799E-09   6.80970534397206E-06   4.32000595013884E-05   1.20995004382797E-05   8.78830530632269E-07   5.27951453304223E-09   5.96992305428409E+00   2.77229588872509E-03   3.43436904182096E-04
  1.02700E-06                2.88978671279433E-05   7.24946718588272E-05   6.28347166041611E-09   6.80926409976274E-06   4.32001185982421E-05   1.20987163346209E-05   8.78662140947513E-07   5.27903195316688E-09   5.96985751314527E+00   2.77254938825650E-03   3.43425037537963E-04
  2.05100E-06                2.88959964113851E-05   7.24899810526460E-05   9.07487530874581E-09   6.80838195406148E-06   4.32002355217609E-05   1.20971487362811E-05   8.78325637145761E-07   5.27806697022198E-09   5.96972705430642E+00   2.77305353852725E-03   3.43401444179144E-04
