# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.9424692E+00   -5.9349661E+00   -3.9999999E+00   -4.5482760E+00   -4.7254475E+00   -4.7262942E+00   -7.5980152E+00   -4.3181979E+00   -3.1650728E+00   -3.4725333E+00   -6.4486764E+00   -7.2336261E+00   -1.4681288E+01   -1.4000000E+01   -1.4000003E+01   -4.9122672E+00   -1.4000000E+01   -4.8377702E+00   -3.0000000E+01   -3.6583709E+00   -7.1691377E+00   -8.2618981E+00   -7.0516587E+00   -1.0813955E+01   -1.0965704E+01   -1.9094942E+01   -2.7047449E+01   -8.5151902E+00   -8.1556300E+00   -1.0586535E+01   -1.2649480E+01   -8.2024875E+00   -1.2063628E+01   -7.9540948E+00
    2.7000000E-01    6.0231295E+00   -6.0141552E+00   -3.9999999E+00   -4.3118730E+00   -4.4706090E+00   -4.4236230E+00   -8.1234219E+00   -4.0730737E+00   -3.1005642E+00   -3.4887920E+00   -6.4486864E+00   -7.3000994E+00   -1.4986763E+01   -1.4000000E+01   -1.4000003E+01   -4.6601803E+00   -1.4000000E+01   -6.2629172E+00   -3.0000000E+01   -3.5116367E+00   -7.5449459E+00   -8.4763857E+00   -7.5034862E+00   -1.0804308E+01   -1.1197600E+01   -1.9173749E+01   -2.7370875E+01   -8.4329672E+00   -7.9235945E+00   -1.0433273E+01   -1.2740837E+01   -8.1283201E+00   -1.1601384E+01   -7.5740769E+00
    4.5000000E-01    6.0662571E+00   -6.0561231E+00   -3.9999999E+00   -4.1717100E+00   -4.3220739E+00   -4.2399504E+00   -8.4096120E+00   -3.9430959E+00   -3.0409865E+00   -3.5056766E+00   -6.4486956E+00   -7.3678048E+00   -1.5105678E+01   -1.4000000E+01   -1.4000002E+01   -4.5147245E+00   -1.4000000E+01   -6.7886837E+00   -3.0000000E+01   -3.4076848E+00   -7.7541156E+00   -8.5993002E+00   -7.7520948E+00   -1.0832481E+01   -1.1278934E+01   -1.9251252E+01   -2.7503981E+01   -8.3885955E+00   -7.7728263E+00   -1.0359976E+01   -1.2723144E+01   -8.0969047E+00   -1.1315378E+01   -7.3324447E+00
    6.3000000E-01    6.0905126E+00   -6.0793906E+00   -3.9999999E+00   -4.0710653E+00   -4.2134784E+00   -4.1172450E+00   -8.5879522E+00   -3.8577433E+00   -2.9852300E+00   -3.5232704E+00   -6.4487046E+00   -7.4051011E+00   -1.5169553E+01   -1.4000000E+01   -1.4000002E+01   -4.4084617E+00   -1.4000000E+01   -6.8020771E+00   -3.0000000E+01   -3.3266018E+00   -7.8918083E+00   -8.6884819E+00   -7.9108792E+00   -1.0848596E+01   -1.1323253E+01   -1.9296948E+01   -2.7579975E+01   -8.3632716E+00   -7.6643239E+00   -1.0297140E+01   -1.2690604E+01   -8.0572530E+00   -1.1110455E+01   -7.1528488E+00
    8.1000000E-01    6.1039462E+00   -6.0919461E+00   -3.9999999E+00   -3.9917827E+00   -4.1259354E+00   -4.0291704E+00   -8.7059739E+00   -3.7955674E+00   -2.9327249E+00   -3.5416329E+00   -6.4487134E+00   -7.4177403E+00   -1.5201942E+01   -1.4000000E+01   -1.4000002E+01   -4.3226409E+00   -1.4000000E+01   -6.7845432E+00   -3.0000000E+01   -3.2597042E+00   -7.9899486E+00   -8.7597549E+00   -8.0196245E+00   -1.0850543E+01   -1.1346366E+01   -1.9317095E+01   -2.7623156E+01   -8.3488816E+00   -7.5811642E+00   -1.0234097E+01   -1.2650597E+01   -8.0066846E+00   -1.0951790E+01   -7.0085762E+00
    9.9000000E-01    6.1105827E+00   -6.0977825E+00   -3.9999999E+00   -3.9258178E+00   -4.0518774E+00   -3.9622567E+00   -8.7861391E+00   -3.7474297E+00   -2.8830135E+00   -3.5608312E+00   -6.4487221E+00   -7.4140635E+00   -1.5214634E+01   -1.4000000E+01   -1.4000002E+01   -4.2498567E+00   -1.4000000E+01   -6.7653035E+00   -3.0000000E+01   -3.2024767E+00   -8.0632035E+00   -8.8197368E+00   -8.0969248E+00   -1.0842734E+01   -1.1356193E+01   -1.9320293E+01   -2.7645701E+01   -8.3413681E+00   -7.5147091E+00   -1.0170810E+01   -1.2606657E+01   -7.9491550E+00   -1.0822831E+01   -6.8871330E+00
    1.1700000E+00    6.1126810E+00   -6.0991398E+00   -3.9999999E+00   -3.8689300E+00   -3.9874661E+00   -3.9090374E+00   -8.8405390E+00   -3.7085690E+00   -2.8357218E+00   -3.5809425E+00   -6.4487309E+00   -7.3995246E+00   -1.5214239E+01   -1.4000000E+01   -1.4000002E+01   -4.1863925E+00   -1.4000000E+01   -6.7451522E+00   -3.0000000E+01   -3.1522672E+00   -8.1192977E+00   -8.8716345E+00   -8.1527058E+00   -1.0828424E+01   -1.1357179E+01   -1.9312150E+01   -2.7654447E+01   -8.3384529E+00   -7.4599898E+00   -1.0107919E+01   -1.2560655E+01   -7.8875426E+00   -1.0714445E+01   -6.7816648E+00
    1.3500000E+00    6.1116084E+00   -6.0973730E+00   -3.9999999E+00   -3.8186204E+00   -3.9303957E+00   -3.8651562E+00   -8.8765209E+00   -3.6762067E+00   -2.7905418E+00   -3.6020554E+00   -6.4487396E+00   -7.3773513E+00   -1.5204751E+01   -1.4000000E+01   -1.4000002E+01   -4.1300290E+00   -1.4000000E+01   -6.7240231E+00   -3.0000000E+01   -3.1073874E+00   -8.1629419E+00   -8.9174239E+00   -8.1930077E+00   -1.0809508E+01   -1.1352011E+01   -1.9295995E+01   -2.7653538E+01   -8.3387558E+00   -7.4139128E+00   -1.0045659E+01   -1.2513639E+01   -7.8234371E+00   -1.0621090E+01   -6.6880101E+00
    1.5300000E+00    6.1082407E+00   -6.0933492E+00   -3.9999999E+00   -3.7732971E+00   -3.8791241E+00   -3.8279468E+00   -8.8988595E+00   -3.6485891E+00   -2.7472179E+00   -3.6242728E+00   -6.4487485E+00   -7.3494976E+00   -1.5188721E+01   -1.4000000E+01   -1.4000002E+01   -4.0792846E+00   -1.4000000E+01   -6.7018121E+00   -3.0000000E+01   -3.0666974E+00   -8.1972285E+00   -8.9584458E+00   -8.2217721E+00   -1.0787092E+01   -1.1342407E+01   -1.9273853E+01   -2.7645627E+01   -8.3413923E+00   -7.3744361E+00   -9.9840105E+00   -1.2466223E+01   -7.7576873E+00   -1.0539169E+01   -6.6034544E+00
    1.7100000E+00    6.1031638E+00   -6.0876481E+00   -3.9999999E+00   -3.7318841E+00   -3.8325516E+00   -3.7957029E+00   -8.9108141E+00   -3.6245425E+00   -2.7055363E+00   -3.6477144E+00   -6.4487574E+00   -7.3171976E+00   -1.5167850E+01   -1.4000000E+01   -1.4000002E+01   -4.0331022E+00   -1.4000000E+01   -6.6783974E+00   -3.0000000E+01   -3.0293907E+00   -8.2242952E+00   -8.9956664E+00   -8.2417035E+00   -1.0761843E+01   -1.1329512E+01   -1.9247008E+01   -2.7632493E+01   -8.3457701E+00   -7.3401479E+00   -9.9228487E+00   -1.2418772E+01   -7.6907466E+00   -1.0466218E+01   -6.5261285E+00
    1.8900000E+00    6.0967957E+00   -6.0806824E+00   -3.9999999E+00   -3.6935189E+00   -3.7898456E+00   -3.7675106E+00   -8.9148744E+00   -3.6031181E+00   -2.6653162E+00   -3.6725210E+00   -6.4487664E+00   -7.2813617E+00   -1.5143346E+01   -1.4000000E+01   -1.4000002E+01   -3.9905700E+00   -1.4000000E+01   -6.6468410E+00   -3.0000000E+01   -2.9948634E+00   -8.2458371E+00   -9.0299444E+00   -8.2548989E+00   -1.0734270E+01   -1.1314143E+01   -1.9216415E+01   -2.7615407E+01   -8.3514657E+00   -7.3100103E+00   -9.8620882E+00   -1.2371519E+01   -7.6229428E+00   -1.0400358E+01   -6.4545764E+00
