# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8973840E+00   -5.8891701E+00   -3.9999999E+00   -4.5782298E+00   -4.7727769E+00   -4.8082190E+00   -7.4035116E+00   -4.3487294E+00   -2.9309015E+00   -3.4641431E+00   -6.4486819E+00   -7.1954254E+00   -1.4526022E+01   -1.4000000E+01   -1.4000004E+01   -4.9573308E+00   -1.4000000E+01   -3.2698358E+00   -3.0000000E+01   -3.4685308E+00   -7.0704692E+00   -8.2534000E+00   -6.9056679E+00   -1.0823030E+01   -1.0858951E+01   -1.9062688E+01   -2.6900850E+01   -8.5595225E+00   -8.0086380E+00   -1.0407273E+01   -1.2355873E+01   -7.9773860E+00   -1.1949575E+01   -7.7957115E+00
    2.7000000E-01    5.9934381E+00   -5.9840455E+00   -3.9999999E+00   -4.3502896E+00   -4.5233642E+00   -4.5074208E+00   -7.9775749E+00   -4.1075408E+00   -2.9403707E+00   -3.4641929E+00   -6.4486911E+00   -7.2589109E+00   -1.4893890E+01   -1.4000000E+01   -1.4000003E+01   -4.7108676E+00   -1.4000000E+01   -3.2664079E+00   -3.0000000E+01   -3.3806862E+00   -7.4618136E+00   -8.4526362E+00   -7.3893349E+00   -1.0794106E+01   -1.1136423E+01   -1.9136088E+01   -2.7283118E+01   -8.4622110E+00   -7.8210077E+00   -1.0293013E+01   -1.2550482E+01   -7.9579211E+00   -1.1538986E+01   -7.4824362E+00
    4.5000000E-01    6.0684311E+00   -6.0581128E+00   -3.9999999E+00   -4.2214315E+00   -4.3844436E+00   -4.3151090E+00   -8.3668775E+00   -3.9851097E+00   -2.9495638E+00   -3.4642416E+00   -6.4486992E+00   -7.3877877E+00   -1.5110435E+01   -1.4000000E+01   -1.4000002E+01   -4.5761686E+00   -1.4000000E+01   -3.2630068E+00   -3.0000000E+01   -3.3138890E+00   -7.7084997E+00   -8.5493363E+00   -7.7080644E+00   -1.0850862E+01   -1.1282395E+01   -1.9272797E+01   -2.7510996E+01   -8.3862229E+00   -7.6762680E+00   -1.0284958E+01   -1.2633595E+01   -8.0238615E+00   -1.1269327E+01   -7.2887667E+00
    6.3000000E-01    6.1301722E+00   -6.1190831E+00   -3.9999999E+00   -4.1338125E+00   -4.2871761E+00   -4.1841164E+00   -8.6666798E+00   -3.9097906E+00   -2.9585459E+00   -3.4642897E+00   -6.4487066E+00   -7.5180653E+00   -1.5288731E+01   -1.4000000E+01   -1.4000001E+01   -4.4826332E+00   -1.4000000E+01   -3.2596322E+00   -3.0000000E+01   -3.2602940E+00   -7.8909544E+00   -8.6083089E+00   -7.9497907E+00   -1.0921798E+01   -1.1402615E+01   -1.9409631E+01   -2.7698747E+01   -8.3236478E+00   -7.5584625E+00   -1.0303963E+01   -1.2703517E+01   -8.1037711E+00   -1.1067200E+01   -7.1492167E+00
    8.1000000E-01    6.1829215E+00   -6.1711655E+00   -3.9999999E+00   -4.0685139E+00   -4.2111534E+00   -4.0896108E+00   -8.9119818E+00   -3.8590559E+00   -2.9673647E+00   -3.4643373E+00   -6.4487136E+00   -7.6320924E+00   -1.5440992E+01   -1.4000000E+01   -1.4000001E+01   -4.4097742E+00   -1.4000000E+01   -3.2562836E+00   -3.0000000E+01   -3.2156360E+00   -8.0360640E+00   -8.6479198E+00   -8.1455032E+00   -1.0985156E+01   -1.1505287E+01   -1.9529355E+01   -2.7859203E+01   -8.2701728E+00   -7.4589086E+00   -1.0324111E+01   -1.2764397E+01   -8.1759412E+00   -1.0905214E+01   -7.0407076E+00
    9.9000000E-01    6.2291767E+00   -6.2168295E+00   -3.9999999E+00   -4.0170608E+00   -4.1482023E+00   -4.0180964E+00   -9.1206533E+00   -3.8233255E+00   -2.9760558E+00   -3.4643845E+00   -6.4487202E+00   -7.7299737E+00   -1.5574440E+01   -1.4000000E+01   -1.4000001E+01   -4.3494934E+00   -1.4000000E+01   -3.2529606E+00   -3.0000000E+01   -3.1774236E+00   -8.1569281E+00   -8.6762734E+00   -8.3107119E+00   -1.1038632E+01   -1.1595272E+01   -1.9632306E+01   -2.7999926E+01   -8.2232712E+00   -7.3725304E+00   -1.0340663E+01   -1.2818722E+01   -8.2381003E+00   -1.0769934E+01   -6.9523314E+00
    1.1700000E+00    6.2705382E+00   -6.2576579E+00   -3.9999999E+00   -3.9749616E+00   -4.0943409E+00   -3.9617008E+00   -9.3024485E+00   -3.7975799E+00   -2.9846477E+00   -3.4644314E+00   -6.4487264E+00   -7.8156100E+00   -1.5693722E+01   -1.4000000E+01   -1.4000001E+01   -4.2979009E+00   -1.4000000E+01   -3.2496629E+00   -3.0000000E+01   -3.1440672E+00   -8.2602388E+00   -8.6968612E+00   -8.4536555E+00   -1.1084577E+01   -1.1675702E+01   -1.9722528E+01   -2.8125775E+01   -8.1813246E+00   -7.2960840E+00   -1.0354419E+01   -1.2868104E+01   -8.2926304E+00   -1.0653697E+01   -6.8780429E+00
    1.3500000E+00    6.3080891E+00   -6.2947224E+00   -3.9999999E+00   -3.9395672E+00   -4.0472902E+00   -3.9156784E+00   -9.4635937E+00   -3.7788822E+00   -2.9931637E+00   -3.4644780E+00   -6.4487324E+00   -7.8922340E+00   -1.5801987E+01   -1.4000000E+01   -1.4000000E+01   -4.2527993E+00   -1.4000000E+01   -3.2463900E+00   -3.0000000E+01   -3.1144945E+00   -8.3501487E+00   -8.7116693E+00   -8.5795340E+00   -1.1125176E+01   -1.1748700E+01   -1.9803349E+01   -2.8240039E+01   -8.1432377E+00   -7.2273782E+00   -1.0366515E+01   -1.2913643E+01   -8.3417396E+00   -1.0551710E+01   -6.8141447E+00
    1.5300000E+00    6.3425951E+00   -6.3287806E+00   -3.9999999E+00   -3.9091929E+00   -4.0055783E+00   -3.8770680E+00   -9.6083550E+00   -3.7653768E+00   -3.0016231E+00   -3.4645243E+00   -6.4487381E+00   -7.9620045E+00   -1.5901461E+01   -1.4000000E+01   -1.4000000E+01   -4.2127822E+00   -1.4000000E+01   -3.2431415E+00   -3.0000000E+01   -3.0879508E+00   -8.4294578E+00   -8.7219664E+00   -8.6918876E+00   -1.1161849E+01   -1.1815767E+01   -1.9876995E+01   -2.8345043E+01   -8.1082363E+00   -7.1648670E+00   -1.0377632E+01   -1.2956118E+01   -8.3868656E+00   -1.0460777E+01   -6.7582146E+00
    1.7100000E+00    6.3746168E+00   -6.3603868E+00   -3.9999999E+00   -3.8827054E+00   -3.9681747E+00   -3.8439545E+00   -9.7398045E+00   -3.7558231E+00   -3.0100427E+00   -3.4645705E+00   -6.4487437E+00   -8.0263678E+00   -1.5993772E+01   -1.4000000E+01   -1.4000000E+01   -4.1768699E+00   -1.4000000E+01   -3.2399120E+00   -3.0000000E+01   -3.0638859E+00   -8.5001662E+00   -8.7286313E+00   -8.7932579E+00   -1.1195499E+01   -1.1877998E+01   -1.9944964E+01   -2.8442490E+01   -8.0757534E+00   -7.1074205E+00   -1.0388137E+01   -1.2996101E+01   -8.4289293E+00   -1.0378660E+01   -6.7085817E+00
