# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    4.1409206E-02    2.0503075E-01    1.9000026E-04
    2.7000000E-01    4.1677702E-02    1.9803859E-01    1.9000081E-04
    4.5000000E-01    4.1619478E-02    1.9146503E-01    1.9000135E-04
    6.3000000E-01    4.1524100E-02    1.8490344E-01    1.9000188E-04
    8.1000000E-01    4.1445244E-02    1.7828784E-01    1.9000241E-04
    9.9000000E-01    4.1399222E-02    1.7160629E-01    1.9000294E-04
    1.1700000E+00    4.1398382E-02    1.6485601E-01    1.9000346E-04
    1.3500000E+00    4.1457632E-02    1.5803591E-01    1.9000398E-04
    1.5300000E+00    4.1596738E-02    1.5114516E-01    1.9000449E-04
    1.7100000E+00    4.1842287E-02    1.4418301E-01    1.9000500E-04
    1.8900000E+00    4.2230111E-02    1.3714875E-01    1.9000551E-04
    2.0700000E+00    4.2804354E-02    1.3009213E-01    1.9000600E-04
    2.2500000E+00    4.3418579E-02    1.2323091E-01    1.9000649E-04
    2.4300000E+00    4.4042563E-02    1.1656337E-01    1.9000698E-04
    2.6100000E+00    4.4668736E-02    1.1010212E-01    1.9000745E-04
    2.7900000E+00    4.5295170E-02    1.0385159E-01    1.9000793E-04
    2.9700000E+00    4.5921231E-02    9.7814371E-02    1.9000839E-04
    3.1500000E+00    4.6546588E-02    9.1992548E-02    1.9000885E-04
    3.3300000E+00    4.7170980E-02    8.6388072E-02    1.9000931E-04
    3.5100000E+00    4.7794161E-02    8.1002830E-02    1.9000976E-04
    3.6900000E+00    4.8415886E-02    7.5838654E-02    1.9001020E-04
    3.8700000E+00    4.9035931E-02    7.0897331E-02    1.9001064E-04
    4.0500000E+00    4.9654078E-02    6.6180594E-02    1.9001108E-04
    4.2300000E+00    5.0270125E-02    6.1690118E-02    1.9001150E-04
    4.4100000E+00    5.0883887E-02    5.7427523E-02    1.9001192E-04
    4.5900000E+00    5.1495207E-02    5.3394365E-02    1.9001234E-04
    4.7700000E+00    5.2103959E-02    4.9592139E-02    1.9001275E-04
    4.9500000E+00    5.2710059E-02    4.6022283E-02    1.9001315E-04
    5.1300000E+00    5.3313465E-02    4.2686188E-02    1.9001355E-04
    5.3100000E+00    5.3914181E-02    3.9585205E-02    1.9001394E-04
    5.4900000E+00    5.4512247E-02    3.6720675E-02    1.9001433E-04
    5.6700000E+00    5.5107722E-02    3.4093955E-02    1.9001471E-04
    5.8500000E+00    5.5700642E-02    3.1706467E-02    1.9001508E-04
    6.0300000E+00    5.6290953E-02    2.9559753E-02    1.9001545E-04
    6.2100000E+00    5.6878410E-02    2.7655554E-02    1.9001582E-04
    6.3900000E+00    5.7462415E-02    2.5995904E-02    1.9001617E-04
    6.5700000E+00    5.8041792E-02    2.4583240E-02    1.9001652E-04
    6.7500000E+00    5.8614463E-02    2.3420527E-02    1.9001686E-04
    6.9300000E+00    5.9177020E-02    2.2511392E-02    1.9001720E-04
    7.1100000E+00    5.9724143E-02    2.1860251E-02    1.9001753E-04
    7.2900000E+00    6.0247849E-02    2.1472420E-02    1.9001786E-04
    7.4700000E+00    6.0736524E-02    2.1354176E-02    1.9001817E-04
    7.6500000E+00    6.1173683E-02    2.1512769E-02    1.9001849E-04
    7.8300000E+00    6.1536398E-02    2.1956338E-02    1.9001879E-04
    8.0100000E+00    6.1793269E-02    2.2693738E-02    1.9001909E-04
    8.1900000E+00    6.1902655E-02    2.3741711E-02    1.9001938E-04
    8.3700000E+00    6.1916628E-02    2.5004410E-02    1.9001967E-04
    8.5500000E+00    6.1868203E-02    2.6409378E-02    1.9001995E-04
    8.7300000E+00    6.1780164E-02    2.7913212E-02    1.9002023E-04
    8.9100000E+00    6.1667771E-02    2.9487412E-02    1.9002050E-04
    9.0900000E+00    6.1541029E-02    3.1113685E-02    1.9002076E-04
    9.2700000E+00    6.1406340E-02    3.2780603E-02    1.9002102E-04
    9.4500000E+00    6.1267692E-02    3.4481252E-02    1.9002127E-04
    9.6300000E+00    6.1127504E-02    3.6211601E-02    1.9002151E-04
    9.8100000E+00    6.0987218E-02    3.7969406E-02    1.9002174E-04
    9.9900000E+00    6.0847683E-02    3.9753507E-02    1.9002197E-04
    1.0170000E+01    6.0709416E-02    4.1563375E-02    1.9002219E-04
    1.0350000E+01    6.0572756E-02    4.3398844E-02    1.9002241E-04
    1.0530000E+01    6.0437975E-02    4.5259953E-02    1.9002262E-04
    1.0710000E+01    6.0305346E-02    4.7146849E-02    1.9002282E-04
    1.0890000E+01    6.0175192E-02    4.9059741E-02    1.9002302E-04
    1.1070000E+01    6.0047932E-02    5.0998872E-02    1.9002320E-04
    1.1250000E+01    5.9924132E-02    5.2964501E-02    1.9002338E-04
    1.1430000E+01    5.9804560E-02    5.4956899E-02    1.9002356E-04
    1.1610000E+01    5.9690261E-02    5.6976345E-02    1.9002373E-04
    1.1790000E+01    5.9582654E-02    5.9023123E-02    1.9002389E-04
    1.1970000E+01    5.9483664E-02    6.1097520E-02    1.9002404E-04
    1.2150000E+01    5.9395892E-02    6.3199829E-02    1.9002419E-04
    1.2330000E+01    5.9322861E-02    6.5330345E-02    1.9002433E-04
    1.2510000E+01    5.9269031E-02    6.7501167E-02    1.9002446E-04
    1.2690000E+01    5.9215162E-02    6.9624172E-02    1.9002459E-04
    1.2870000E+01    5.9161501E-02    7.1687011E-02    1.9002471E-04
    1.3050000E+01    5.9108043E-02    7.3689028E-02    1.9002484E-04
    1.3230000E+01    5.9054782E-02    7.5629550E-02    1.9002496E-04
    1.3410000E+01    5.9001716E-02    7.7507894E-02    1.9002507E-04
    1.3590000E+01    5.8948843E-02    7.9323371E-02    1.9002518E-04
    1.3770000E+01    5.8896163E-02    8.1075284E-02    1.9002529E-04
    1.3950000E+01    5.8843677E-02    8.2762930E-02    1.9002539E-04
    1.4130000E+01    5.8791386E-02    8.4385599E-02    1.9002549E-04
    1.4310000E+01    5.8739294E-02    8.5942572E-02    1.9002558E-04
    1.4490000E+01    5.8687407E-02    8.7433125E-02    1.9002567E-04
    1.4670000E+01    5.8635735E-02    8.8856528E-02    1.9002576E-04
    1.4850000E+01    5.8584290E-02    9.0212043E-02    1.9002584E-04
    1.5030000E+01    5.8533091E-02    9.1498927E-02    1.9002592E-04
    1.5210000E+01    5.8482162E-02    9.2716429E-02    1.9002600E-04
    1.5390000E+01    5.8431539E-02    9.3863795E-02    1.9002607E-04
    1.5570000E+01    5.8381270E-02    9.4940264E-02    1.9002613E-04
    1.5750000E+01    5.8331419E-02    9.5945068E-02    1.9002619E-04
    1.5930000E+01    5.8282075E-02    9.6877434E-02    1.9002625E-04
    1.6110000E+01    5.8233356E-02    9.7736585E-02    1.9002630E-04
    1.6290000E+01    5.8185425E-02    9.8521735E-02    1.9002635E-04
    1.6470000E+01    5.8138500E-02    9.9232092E-02    1.9002639E-04
    1.6650000E+01    5.8092879E-02    9.9866857E-02    1.9002643E-04
    1.6830000E+01    5.8048960E-02    1.0042522E-01    1.9002647E-04
    1.7010000E+01    5.8007286E-02    1.0090637E-01    1.9002649E-04
    1.7190000E+01    5.7968586E-02    1.0130947E-01    1.9002652E-04
    1.7370000E+01    5.7933850E-02    1.0163369E-01    1.9002654E-04
    1.7550000E+01    5.7904409E-02    1.0187817E-01    1.9002655E-04
    1.7730000E+01    5.7882066E-02    1.0204204E-01    1.9002656E-04
    1.7910000E+01    5.7869253E-02    1.0212443E-01    1.9002657E-04
