# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -2.4739400E-04    1.0000000E-04    1.1998264E-05    6.5639655E-06    6.2980048E-06    9.4915817E-07    1.7423781E-05    1.2727339E-03    3.4345506E-04    3.5589935E-07    6.1566850E-08    2.8683448E-11    1.0000000E-14    1.0000000E-14    4.2836016E-06    1.0000000E-14    5.3427379E-04    1.0000000E-30
    2.7000000E-01   -2.7305435E-04    1.0000000E-04    1.9235269E-05    1.1826505E-05    8.7105662E-06    4.2759212E-07    3.1650513E-05    1.2846939E-03    3.4342704E-04    3.5589738E-07    7.1442687E-08    1.3046339E-11    1.0000000E-14    1.0000000E-14    7.7989516E-06    1.0000000E-14    5.3555096E-04    1.0000000E-30
    4.5000000E-01   -2.9818832E-04    1.0000000E-04    2.5806896E-05    1.6507455E-05    1.2373651E-05    2.3795638E-07    4.4544104E-05    1.2963199E-03    3.4339901E-04    3.5589550E-07    7.2573826E-08    1.0750036E-11    1.0000000E-14    1.0000000E-14    1.0850959E-05    1.0000000E-14    5.3682812E-04    1.0000000E-30
    6.3000000E-01   -3.2235239E-04    1.0000000E-04    3.1837711E-05    2.0655126E-05    1.7140751E-05    1.5388270E-07    5.6153666E-05    1.3074018E-03    3.4337099E-04    3.5589377E-07    6.8330500E-08    9.0402936E-12    1.0000000E-14    1.0000000E-14    1.3516718E-05    1.0000000E-14    5.3810528E-04    1.0000000E-30
    8.1000000E-01   -3.4552717E-04    1.0000000E-04    3.7418413E-05    2.4376060E-05    2.2715247E-05    1.0851251E-07    6.6620383E-05    1.3179384E-03    3.4334298E-04    3.5589216E-07    6.1566481E-08    7.7307247E-12    1.0000000E-14    1.0000000E-14    1.5880398E-05    1.0000000E-14    5.3938244E-04    1.0000000E-30
    9.9000000E-01   -3.6779076E-04    1.0000000E-04    4.2616431E-05    2.7789677E-05    2.8758099E-05    8.0988884E-08    7.6083667E-05    1.3279668E-03    3.4331496E-04    3.5589065E-07    5.4227914E-08    6.7021492E-12    1.0000000E-14    1.0000000E-14    1.8026769E-05    1.0000000E-14    5.4065960E-04    1.0000000E-30
    1.1700000E+00   -3.8922940E-04    1.0000000E-04    4.7483675E-05    3.0999265E-05    3.4976799E-05    6.2955315E-08    8.4662209E-05    1.3375205E-03    3.4328691E-04    3.5588922E-07    4.7383780E-08    5.8769349E-12    1.0000000E-14    1.0000000E-14    2.0027423E-05    1.0000000E-14    5.4193676E-04    1.0000000E-30
    1.3500000E+00   -4.0992109E-04    1.0000000E-04    5.2061443E-05    3.4080069E-05    4.1164804E-05    5.0467821E-08    9.2455253E-05    1.3466221E-03    3.4325881E-04    3.5588785E-07    4.1462917E-08    5.2027837E-12    1.0000000E-14    1.0000000E-14    2.1934232E-05    1.0000000E-14    5.4321392E-04    1.0000000E-30
    1.5300000E+00   -4.2993350E-04    1.0000000E-04    5.6383402E-05    3.7080159E-05    4.7199600E-05    4.1449893E-08    9.9546200E-05    1.3552821E-03    3.4323066E-04    3.5588654E-07    3.6520451E-08    4.6433276E-12    1.0000000E-14    1.0000000E-14    2.3780437E-05    1.0000000E-14    5.4449108E-04    1.0000000E-30
    1.7100000E+00   -4.4932478E-04    1.0000000E-04    6.0477420E-05    4.0027115E-05    5.3021488E-05    3.4717839E-08    1.0600578E-04    1.3634986E-03    3.4320243E-04    3.5588528E-07    3.2441829E-08    4.1725745E-12    1.0000000E-14    1.0000000E-14    2.5585344E-05    1.0000000E-14    5.4576878E-04    1.0000000E-30
    1.8900000E+00   -4.6814863E-04    1.0000000E-04    6.4370972E-05    4.2937731E-05    5.8595257E-05    2.9552204E-08    1.1190242E-04    1.3712603E-03    3.4317414E-04    3.5588406E-07    2.9062434E-08    3.7714486E-12    1.0000000E-14    1.0000000E-14    2.7364122E-05    1.0000000E-14    5.4724621E-04    1.0000000E-30
    2.0700000E+00   -4.8780475E-04    1.0000000E-04    6.9669319E-05    4.6650190E-05    5.8331023E-05    3.2243173E-08    1.2035369E-04    1.3799550E-03    3.4314562E-04    3.5588253E-07    2.3993092E-08    3.4071968E-12    1.0000000E-14    1.0000000E-14    3.0963698E-05    1.0000000E-14    6.2387692E-04    1.0000000E-30
