# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997413084479E-05   7.24993699703835E-05   3.48198904855296E-09   6.81014839324525E-06   4.31999973127900E-05   1.21002878240762E-05   8.78999653246583E-07   5.27999898541432E-09   5.96998985620821E+00   2.77204165767166E-03   3.43448850233667E-04
  2.00000E-09                2.88997387564670E-05   7.24993636185716E-05   3.48397866409662E-09   6.81014706965259E-06   4.31999946255798E-05   1.21002854589692E-05   8.78999306493828E-07   5.27999797082994E-09   5.96998939492105E+00   2.77204208703635E-03   3.43448812896158E-04
  3.00000E-09                2.88997362747958E-05   7.24993574208035E-05   3.48596771379037E-09   6.81014570811639E-06   4.31999919383807E-05   1.21002830196490E-05   8.78998959741433E-07   5.27999695624425E-09   5.96998902933463E+00   2.77204259734920E-03   3.43448775575470E-04
  4.00000E-09                2.88997337369702E-05   7.24993510755236E-05   3.48795676349955E-09   6.81014438053610E-06   4.31999892511846E-05   1.21002806469269E-05   8.78998612989476E-07   5.27999594165886E-09   5.96998872492657E+00   2.77204316435135E-03   3.43448738239643E-04
  5.00000E-09                2.88997311615532E-05   7.24993446314309E-05   3.48994581303946E-09   6.81014307621135E-06   4.31999865639912E-05   1.21002783197740E-05   8.78998266237924E-07   5.27999492707374E-09   5.96998846208763E+00   2.77204376986860E-03   3.43448700893612E-04
  7.00000E-09                2.88997258975272E-05   7.24993314529120E-05   3.49392560964601E-09   6.81014053575123E-06   4.31999811896059E-05   1.21002737990962E-05   8.78997572736489E-07   5.27999289790505E-09   5.96998802071208E+00   2.77204506072931E-03   3.43448626171811E-04
  1.10000E-08                2.88997153199076E-05   7.24993049540060E-05   3.50187953582460E-09   6.81013548731747E-06   4.31999704408941E-05   1.21002648214707E-05   8.78996185738355E-07   5.27998883956907E-09   5.96998725788818E+00   2.77204775000817E-03   3.43448476716579E-04
  1.90000E-08                2.88996940938629E-05   7.24992517660669E-05   3.51779188924532E-09   6.81012543454016E-06   4.31999489435720E-05   1.21002469526669E-05   8.78993411763742E-07   5.27998072291122E-09   5.96998583294851E+00   2.77205322201205E-03   3.43448177798629E-04
  3.50000E-08                2.88996515780560E-05   7.24991452270290E-05   3.54961648259559E-09   6.81010536702761E-06   4.31999059494089E-05   1.21002112896293E-05   8.78987863898290E-07   5.27996448964569E-09   5.96998302898302E+00   2.77206420817526E-03   3.43447579995070E-04
  6.70000E-08                2.88995665175142E-05   7.24989320767631E-05   3.61326523049955E-09   6.81006525053235E-06   4.31998199629905E-05   1.21001399997294E-05   8.78976768502173E-07   5.27993202331518E-09   5.96997743258005E+00   2.77208618772920E-03   3.43446384577628E-04
  1.31000E-07                2.88993963919815E-05   7.24985057653832E-05   3.74056129066024E-09   6.80998502381307E-06   4.31996479976957E-05   1.20999974318807E-05   8.78954579048734E-07   5.27986709145618E-09   5.96996624407558E+00   2.77213013450769E-03   3.43443994531064E-04
  2.59000E-07                2.88990561517131E-05   7.24976531695829E-05   3.99514278460209E-09   6.80982457792998E-06   4.31993040965578E-05   1.20997123097177E-05   8.78910205494572E-07   5.27973723094621E-09   5.96994387939782E+00   2.77221797346877E-03   3.43439217597007E-04
  5.15000E-07                2.88983757216104E-05   7.24959481037428E-05   4.50426692949728E-09   6.80950371501907E-06   4.31986164063746E-05   1.20991421166201E-05   8.78821479777518E-07   5.27947752275771E-09   5.96989919908353E+00   2.77239343289406E-03   3.43429676351561E-04
  1.02700E-06                2.88970150592732E-05   7.24925384655395E-05   5.52230987442177E-09   6.80886210478121E-06   4.31972414285954E-05   1.20980019358285E-05   8.78644113752196E-07   5.27895815770148E-09   5.96981003402707E+00   2.77274347958393E-03   3.43410644232769E-04
  2.05100E-06                2.88942945235740E-05   7.24857211568659E-05   7.55722398544526E-09   6.80757934537374E-06   4.31944927167182E-05   1.20957223936017E-05   8.78289722093454E-07   5.27791963283131E-09   5.96963248214607E+00   2.77344009897238E-03   3.43372780543278E-04
  4.09900E-06                2.88888565929251E-05   7.24720943732273E-05   1.16197231682218E-08   6.80501566305950E-06   4.31889974259483E-05   1.20911665727354E-05   8.77582290510342E-07   5.27584340373449E-09   5.96928045925652E+00   2.77481955805615E-03   3.43297847903071E-04
  8.19500E-06                2.88779931863257E-05   7.24448718753977E-05   1.96947453430713E-08   6.79989558846526E-06   4.31779934875854E-05   1.20820678856818E-05   8.76172757374757E-07   5.27169422551084E-09   5.96858848591545E+00   2.77752427208382E-03   3.43151103030707E-04
  1.63870E-05                2.88563152021769E-05   7.23905487192988E-05   3.54754639790389E-08   6.78968409392078E-06   4.31557677445850E-05   1.20639214304079E-05   8.73374422820934E-07   5.26340896814430E-09   5.96725089957488E+00   2.78272395701360E-03   3.42869643219670E-04
  3.27710E-05                2.88131472478215E-05   7.22823717370328E-05   6.46023057537631E-08   6.76937197590916E-06   4.31094286250789E-05   1.20278255237101E-05   8.67856363010639E-07   5.24689068386959E-09   5.96474706771673E+00   2.79233745855364E-03   3.42351477914039E-04
  6.55390E-05                2.87275184391099E-05   7.20677836590223E-05   1.10091759034753E-07   6.72916777003013E-06   4.30059810973943E-05   1.19563799725657E-05   8.57105286014518E-07   5.21406171864650E-09   5.96033129142829E+00   2.80879797707628E-03   3.41470694537347E-04
  1.31075E-04                2.85588694626867E-05   7.16451232993197E-05   1.61200192457036E-07   6.65032154928653E-06   4.27663243800584E-05   1.18162641311343E-05   8.36566779529763E-07   5.14922378629391E-09   5.95332757150580E+00   2.83305055173876E-03   3.40186147823497E-04
  2.62147E-04                2.82309111918969E-05   7.08231337989278E-05   2.00826272208862E-07   6.49828532788329E-06   4.22488201156985E-05   1.15460814942469E-05   7.98475474098394E-07   5.02274666481243E-09   5.94397179065460E+00   2.85936562786141E-03   3.38792943280746E-04
  5.24291E-04                2.76071830300582E-05   6.92596052038389E-05   2.28177956167236E-07   6.21391166380297E-06   4.12396242860182E-05   1.10407204977083E-05   7.30959950534149E-07   4.78196894657162E-09   5.93385838733053E+00   2.87118297154017E-03   3.38027597338403E-04
  1.04858E-03                2.64695936371558E-05   6.64073194698776E-05   2.54658744547014E-07   5.71153356018072E-06   3.94358062877699E-05   1.01479483264184E-05   6.20614899095026E-07   4.34462985723005E-09   5.92354444534155E+00   2.85145053575737E-03   3.38402468691302E-04
  2.09715E-03                2.45600867169958E-05   6.16177394808590E-05   2.95959159978441E-07   4.91565757823214E-06   3.65722581511854E-05   8.73362574381451E-06   4.65702866707343E-07   3.61697989867113E-09   5.90921141697109E+00   2.80231749013645E-03   3.39438780069964E-04
  4.19431E-03                2.18187497577278E-05   5.47366962563060E-05   3.69951843274432E-07   3.87694884021033E-06   3.28944808681429E-05   6.88781914660953E-06   2.95805188619451E-07   2.58015583156141E-09   5.88623769531336E+00   2.74076463663221E-03   3.40359076989557E-04
  8.30025E-03                1.88400747991073E-05   4.72487116395131E-05   4.74962363156121E-07   2.88684010125291E-06   2.96359762483529E-05   5.12840942346623E-06   1.64467645648768E-07   1.44527529325187E-09   5.85805464479954E+00   2.68317368916922E-03   3.40942873947946E-04
  1.49150E-02                1.68033504131565E-05   4.21096528708052E-05   5.60050623657186E-07   2.29184332816476E-06   2.80510037638459E-05   4.07105932851635E-06   1.01070351329650E-07   6.38962733320282E-10   5.83707587706749E+00   2.64488436967569E-03   3.41259456272090E-04
  2.57857E-02                1.58073556013512E-05   3.95593595525925E-05   6.01879933403652E-07   2.02306689441428E-06   2.76600370229584E-05   3.59331283728871E-06   7.90627062510522E-08   2.08294531071420E-10   5.82611976458332E+00   2.62378121685943E-03   3.41415443110228E-04
  4.18298E-02                1.54988742536202E-05   3.87068306725125E-05   6.12842810183114E-07   1.93876744686460E-06   2.76786400146666E-05   3.44326482890546E-06   7.40743477179906E-08   5.15451188950625E-11   5.82257019160537E+00   2.61467844584582E-03   3.41428273806405E-04
  5.96214E-02                1.54474593600578E-05   3.84899418265330E-05   6.14185546113419E-07   1.91977063183172E-06   2.77130983788416E-05   3.40922409883194E-06   7.33046864051628E-08   1.18259436172449E-11   5.82190467994658E+00   2.61142104508816E-03   3.41346904629482E-04
  7.90755E-02                1.54569370548877E-05   3.84179785383751E-05   6.14110367523923E-07   1.91569970022817E-06   2.77231040507711E-05   3.40168193419036E-06   7.31989376199205E-08   2.54397052090741E-12   5.82185354247397E+00   2.61015762235087E-03   3.41212509765141E-04
  1.03478E-01                1.54857312798588E-05   3.83714349057380E-05   6.14004417125221E-07   1.91500002455767E-06   2.77240699783649E-05   3.40005221873480E-06   7.31945738750575E-08   4.64242766842951E-13   5.82187741260198E+00   2.60968620785634E-03   3.41018926686049E-04
  1.36460E-01                1.55288961355525E-05   3.83218190897780E-05   6.14037239538866E-07   1.91538564456235E-06   2.77252797357510E-05   3.40021477847084E-06   7.32169766555445E-08   7.33931217201922E-14   5.82185858611158E+00   2.60970596541865E-03   3.40750056748453E-04
  1.81131E-01                1.55875609724091E-05   3.82598842225577E-05   6.14192703263277E-07   1.91642607399480E-06   2.77297186819502E-05   3.40135508209136E-06   7.32562204734917E-08   1.68022691649021E-14   5.82178109535719E+00   2.61008283130609E-03   3.40401861548172E-04
  2.39422E-01                1.56620578973002E-05   3.81817565687032E-05   6.14419250873193E-07   1.91803675852193E-06   2.77367099921353E-05   3.40329191285498E-06   7.33067449223988E-08   1.05757361925291E-14   5.82166500766498E+00   2.61066536856542E-03   3.39990040515052E-04
