# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -5.4874278E-04    1.0000000E-04    2.8886975E-05    1.7785790E-05    1.5129657E-05    2.9890826E-07    4.9453632E-05    2.6591353E-03    3.3569971E-04    3.5588327E-07    8.2657838E-08    1.8373702E-11    1.0000000E-14    1.0000000E-14    1.1699261E-05    1.0000000E-14    1.5022388E-05    1.0000000E-30
    2.7000000E-01   -6.3484032E-04    1.0000000E-04    5.1413363E-05    3.2637396E-05    3.0057479E-05    1.2497225E-07    9.0352215E-05    2.8062200E-03    3.2143703E-04    3.5587560E-07    9.1667629E-08    1.2073598E-11    1.0000000E-14    1.0000000E-14    2.1421222E-05    1.0000000E-14    5.5665737E-07    1.0000000E-30
    4.5000000E-01   -7.1661612E-04    1.0000000E-04    7.2095528E-05    4.6175685E-05    4.6847237E-05    7.2988104E-08    1.2452879E-04    2.9561663E-03    3.0717900E-04    3.5586846E-07    8.9354115E-08    1.0298863E-11    1.0000000E-14    1.0000000E-14    3.0115163E-05    1.0000000E-14    1.4451507E-07    1.0000000E-30
    6.3000000E-01   -7.9489726E-04    1.0000000E-04    9.1439842E-05    5.9090451E-05    6.3648879E-05    4.9758477E-08    1.5334283E-04    3.1112838E-03    2.9288766E-04    3.5586167E-07    8.5248363E-08    9.1266388E-12    1.0000000E-14    1.0000000E-14    3.8306944E-05    1.0000000E-14    1.3836262E-07    1.0000000E-30
    8.1000000E-01   -8.7050177E-04    1.0000000E-04    1.0979432E-04    7.1775079E-05    7.9607731E-05    3.7219980E-08    1.7795826E-04    3.2728884E-03    2.7856353E-04    3.5585513E-07    8.2360069E-08    8.3288312E-12    1.0000000E-14    1.0000000E-14    4.6289602E-05    1.0000000E-14    1.4510151E-07    1.0000000E-30
    9.9000000E-01   -9.4404086E-04    1.0000000E-04    1.2741346E-04    8.4417232E-05    9.4431829E-05    2.9641389E-08    1.9918378E-04    3.4421316E-03    2.6420805E-04    3.5584874E-07    8.1301865E-08    7.7813423E-12    1.0000000E-14    1.0000000E-14    5.4207801E-05    1.0000000E-14    1.5300221E-07    1.0000000E-30
    1.1700000E+00   -1.0160079E-03    1.0000000E-04    1.4449128E-04    9.7098284E-05    1.0812951E-04    2.4732012E-08    2.1766073E-04    3.6201189E-03    2.4982248E-04    3.5584246E-07    8.2025687E-08    7.4115238E-12    1.0000000E-14    1.0000000E-14    6.2129173E-05    1.0000000E-14    1.6182835E-07    1.0000000E-30
    1.3500000E+00   -1.0868047E-03    1.0000000E-04    1.6118069E-04    1.0985317E-04    1.2081795E-04    2.1400371E-08    2.3390304E-04    3.8079378E-03    2.3540788E-04    3.5583625E-07    8.4403987E-08    7.1747858E-12    1.0000000E-14    1.0000000E-14    7.0086382E-05    1.0000000E-14    1.7173846E-07    1.0000000E-30
    1.5300000E+00   -1.1567630E-03    1.0000000E-04    1.7760588E-04    1.2269930E-04    1.3263524E-04    1.9069044E-08    2.4832722E-04    4.0066806E-03    2.2096506E-04    3.5583008E-07    8.8383047E-08    7.0428284E-12    1.0000000E-14    1.0000000E-14    7.8097667E-05    1.0000000E-14    1.8294761E-07    1.0000000E-30
    1.7100000E+00   -1.2261613E-03    1.0000000E-04    1.9387096E-04    1.3564881E-04    1.4370642E-04    1.7408515E-08    2.6127557E-04    4.2174630E-03    2.0649466E-04    3.5582393E-07    9.4009027E-08    6.9973299E-12    1.0000000E-14    1.0000000E-14    8.6176028E-05    1.0000000E-14    1.9573348E-07    1.0000000E-30
    1.8900000E+00   -1.2952764E-03    1.0000000E-04    2.1012648E-04    1.4872186E-04    1.5402053E-04    1.6212603E-08    2.7313030E-04    4.4414784E-03    1.9199714E-04    3.5581777E-07    1.0139341E-07    7.0260240E-12    1.0000000E-14    1.0000000E-14    9.4370135E-05    1.0000000E-14    2.1575044E-07    1.0000000E-30
    2.0700000E+00   -1.3686750E-03    1.0000000E-04    2.3350993E-04    1.6276926E-04    1.5066324E-04    1.8054202E-08    2.9629848E-04    4.6832046E-03    1.7756404E-04    3.5581078E-07    1.0162205E-07    7.0743160E-12    1.0000000E-14    1.0000000E-14    1.0700596E-04    1.0000000E-14    1.2894149E-05    1.0000000E-30
    2.2500000E+00   -1.4417084E-03    1.0000000E-04    2.5679433E-04    1.7680489E-04    1.4718344E-04    1.6404101E-08    3.1763320E-04    4.9213665E-03    1.6376083E-04    3.5580381E-07    1.0754072E-07    7.1188993E-12    1.0000000E-14    1.0000000E-14    1.1958130E-04    1.0000000E-14    1.4620331E-05    1.0000000E-30
    2.4300000E+00   -1.5144103E-03    1.0000000E-04    2.7996804E-04    1.9082705E-04    1.4360694E-04    1.5077459E-08    3.3727565E-04    5.1559712E-03    1.5052378E-04    3.5579685E-07    1.1630927E-07    7.1563201E-12    1.0000000E-14    1.0000000E-14    1.3210471E-04    1.0000000E-14    1.5934873E-05    1.0000000E-30
    2.6100000E+00   -1.5867932E-03    1.0000000E-04    3.0301816E-04    2.0483318E-04    1.3995476E-04    1.3989321E-08    3.5534407E-04    5.3867290E-03    1.3785595E-04    3.5578991E-07    1.2695104E-07    7.1857521E-12    1.0000000E-14    1.0000000E-14    1.4458202E-04    1.0000000E-14    1.7391965E-05    1.0000000E-30
    2.7900000E+00   -1.6588641E-03    1.0000000E-04    3.2593181E-04    2.1882051E-04    1.3624455E-04    1.3080966E-08    3.7194336E-04    5.6133669E-03    1.2575890E-04    3.5578297E-07    1.3918120E-07    7.2067314E-12    1.0000000E-14    1.0000000E-14    1.5701756E-04    1.0000000E-14    1.9052097E-05    1.0000000E-30
    2.9700000E+00   -1.7306257E-03    1.0000000E-04    3.4869615E-04    2.3278612E-04    1.3249138E-04    1.2310936E-08    3.8716733E-04    5.8355924E-03    1.1423397E-04    3.5577605E-07    1.5299406E-07    7.2188825E-12    1.0000000E-14    1.0000000E-14    1.6941450E-04    1.0000000E-14    2.0956333E-05    1.0000000E-30
    3.1500000E+00   -1.8020765E-03    1.0000000E-04    3.7129846E-04    2.4672694E-04    1.2870824E-04    1.1649137E-08    4.0110040E-04    6.0530919E-03    1.0328232E-04    3.5576914E-07    1.6851288E-07    7.2218622E-12    1.0000000E-14    1.0000000E-14    1.8177500E-04    1.0000000E-14    2.3153807E-05    1.0000000E-30
    3.3300000E+00   -1.8732119E-03    1.0000000E-04    3.9372606E-04    2.6063973E-04    1.2490649E-04    1.1073191E-08    4.1381891E-04    6.2655294E-03    9.2904924E-05    3.5576225E-07    1.8593453E-07    7.2153380E-12    1.0000000E-14    1.0000000E-14    1.9410044E-04    1.0000000E-14    2.5706064E-05    1.0000000E-30
    3.5100000E+00   -1.9440243E-03    1.0000000E-04    4.1596630E-04    2.7452108E-04    1.2109614E-04    1.0566103E-08    4.2539213E-04    6.4725464E-03    8.3102552E-05    3.5575537E-07    2.0551010E-07    7.1989798E-12    1.0000000E-14    1.0000000E-14    2.0639151E-04    1.0000000E-14    2.8691027E-05    1.0000000E-30
    3.6900000E+00   -2.0145035E-03    1.0000000E-04    4.3800652E-04    2.8836743E-04    1.1728614E-04    1.0114727E-08    4.3588307E-04    6.6737623E-03    7.3875751E-05    3.5574850E-07    2.2753966E-07    7.1724571E-12    1.0000000E-14    1.0000000E-14    2.1864827E-04    1.0000000E-14    3.2208281E-05    1.0000000E-30
    3.8700000E+00   -2.0846370E-03    1.0000000E-04    4.5983402E-04    3.0217504E-04    1.1348455E-04    9.7087184E-09    4.4534917E-04    6.8687736E-03    6.5224794E-05    3.5574165E-07    2.5237297E-07    7.1354405E-12    1.0000000E-14    1.0000000E-14    2.3087028E-04    1.0000000E-14    3.6386324E-05    1.0000000E-30
    4.0500000E+00   -2.1544106E-03    1.0000000E-04    4.8143600E-04    3.1593996E-04    1.0969868E-04    9.3398222E-09    4.5384281E-04    7.0571555E-03    5.7149613E-05    3.5573482E-07    2.8041229E-07    7.0876060E-12    1.0000000E-14    1.0000000E-14    2.4305658E-04    1.0000000E-14    4.1392609E-05    1.0000000E-30
    4.2300000E+00   -2.2238077E-03    1.0000000E-04    5.0279956E-04    3.2965805E-04    1.0593524E-04    9.0013624E-09    4.6141185E-04    7.2384627E-03    4.9649716E-05    3.5572801E-07    3.1211558E-07    7.0286416E-12    1.0000000E-14    1.0000000E-14    2.5520578E-04    1.0000000E-14    4.7447553E-05    1.0000000E-30
    4.4100000E+00   -2.2928101E-03    1.0000000E-04    5.2391165E-04    3.4332496E-04    1.0220040E-04    8.6878841E-09    4.6809996E-04    7.4122321E-03    4.2724061E-05    3.5572122E-07    3.4799856E-07    6.9582578E-12    1.0000000E-14    1.0000000E-14    2.6731606E-04    1.0000000E-14    5.4844185E-05    1.0000000E-30
    4.5900000E+00   -2.3613981E-03    1.0000000E-04    5.4475906E-04    3.5693612E-04    9.8499927E-05    8.3948949E-09    4.7394704E-04    7.5779872E-03    3.6370888E-05    3.5571446E-07    3.8863419E-07    6.8762014E-12    1.0000000E-14    1.0000000E-14    2.7938521E-04    1.0000000E-14    6.3975773E-05    1.0000000E-30
    4.7700000E+00   -2.4295499E-03    1.0000000E-04    5.6532845E-04    3.7048672E-04    9.4839162E-05    8.1186806E-09    4.7898958E-04    7.7352444E-03    3.0587484E-05    3.5570772E-07    4.3464762E-07    6.7822741E-12    1.0000000E-14    1.0000000E-14    2.9141063E-04    1.0000000E-14    7.5374575E-05    1.0000000E-30
    4.9500000E+00   -2.4972426E-03    1.0000000E-04    5.8560636E-04    3.8397174E-04    9.1223131E-05    7.8561753E-09    4.8326099E-04    7.8835231E-03    2.5369850E-05    3.5570101E-07    4.8670448E-07    6.6763574E-12    1.0000000E-14    1.0000000E-14    3.0338936E-04    1.0000000E-14    8.9765655E-05    1.0000000E-30
    5.1300000E+00   -2.5644518E-03    1.0000000E-04    6.0557930E-04    3.9738597E-04    8.7656541E-05    7.6048764E-09    4.8679202E-04    8.0223606E-03    2.0712248E-05    3.5569433E-07    5.4548959E-07    6.5584448E-12    1.0000000E-14    1.0000000E-14    3.1531812E-04    1.0000000E-14    1.0813994E-04    1.0000000E-30
    5.3100000E+00   -2.6311518E-03    1.0000000E-04    6.2523390E-04    4.1072400E-04    8.4143806E-05    7.3627938E-09    4.8961119E-04    8.1513332E-03    1.6606568E-05    3.5568769E-07    6.1167341E-07    6.4286841E-12    1.0000000E-14    1.0000000E-14    3.2719334E-04    1.0000000E-14    1.3184914E-04    1.0000000E-30
