# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    4.0774275E-02    2.0519480E-01    1.9000037E-04
    2.7000000E-01    4.1429827E-02    1.9658948E-01    1.9000113E-04
    4.5000000E-01    4.2189521E-02    1.8799790E-01    1.9000187E-04
    6.3000000E-01    4.3095701E-02    1.7938081E-01    1.9000260E-04
    8.1000000E-01    4.4160888E-02    1.7073735E-01    1.9000333E-04
    9.9000000E-01    4.5398200E-02    1.6206804E-01    1.9000404E-04
    1.1700000E+00    4.6822660E-02    1.5337339E-01    1.9000475E-04
    1.3500000E+00    4.8451280E-02    1.4465386E-01    1.9000544E-04
    1.5300000E+00    5.0303204E-02    1.3590985E-01    1.9000613E-04
    1.7100000E+00    5.2399866E-02    1.2714167E-01    1.9000681E-04
    1.8900000E+00    5.4765184E-02    1.1834957E-01    1.9000748E-04
    2.0700000E+00    5.7408697E-02    1.0958997E-01    1.9000814E-04
    2.2500000E+00    6.0022015E-02    1.0120273E-01    1.9000879E-04
    2.4300000E+00    6.2598151E-02    9.3153304E-02    1.9000942E-04
    2.6100000E+00    6.5131722E-02    8.5444303E-02    1.9001005E-04
    2.7900000E+00    6.7618158E-02    7.8076963E-02    1.9001066E-04
    2.9700000E+00    7.0052618E-02    7.1052320E-02    1.9001127E-04
    3.1500000E+00    7.2429883E-02    6.4371291E-02    1.9001187E-04
    3.3300000E+00    7.4744322E-02    5.8034668E-02    1.9001245E-04
    3.5100000E+00    7.6989867E-02    5.2043106E-02    1.9001303E-04
    3.6900000E+00    7.9159987E-02    4.6397100E-02    1.9001360E-04
    3.8700000E+00    8.1247675E-02    4.1096949E-02    1.9001415E-04
    4.0500000E+00    8.3245446E-02    3.6142717E-02    1.9001470E-04
    4.2300000E+00    8.5145340E-02    3.1534173E-02    1.9001524E-04
    4.4100000E+00    8.6938961E-02    2.7270703E-02    1.9001577E-04
    4.5900000E+00    8.8617539E-02    2.3351208E-02    1.9001628E-04
    4.7700000E+00    9.0172038E-02    1.9773949E-02    1.9001679E-04
    4.9500000E+00    9.1593326E-02    1.6536350E-02    1.9001729E-04
    5.1300000E+00    9.2872433E-02    1.3634727E-02    1.9001778E-04
    5.3100000E+00    9.4000916E-02    1.1063931E-02    1.9001826E-04
    5.4900000E+00    9.4971372E-02    8.8168851E-03    1.9001873E-04
    5.6700000E+00    9.5778111E-02    6.8840088E-03    1.9001919E-04
    5.8500000E+00    9.6417997E-02    5.2525377E-03    1.9001964E-04
    6.0300000E+00    9.6891397E-02    3.9058165E-03    1.9002008E-04
    6.2100000E+00    9.7203119E-02    2.8227044E-03    1.9002051E-04
    6.3900000E+00    9.7363082E-02    1.9773341E-03    1.9002094E-04
    6.5700000E+00    9.7386420E-02    1.3395072E-03    1.9002135E-04
    6.7500000E+00    9.7292755E-02    8.7593380E-04    1.9002175E-04
    6.9300000E+00    9.7104605E-02    5.5226987E-04    1.9002215E-04
    7.1100000E+00    9.6845227E-02    3.3557004E-04    1.9002253E-04
    7.2900000E+00    9.6536446E-02    1.9654307E-04    1.9002291E-04
    7.4700000E+00    9.6197031E-02    1.1105468E-04    1.9002328E-04
    7.6500000E+00    9.5841907E-02    6.0631462E-05    1.9002364E-04
    7.8300000E+00    9.5482167E-02    3.2084969E-05    1.9002399E-04
    8.0100000E+00    9.5125627E-02    1.6598337E-05    1.9002433E-04
    8.1900000E+00    9.4775028E-02    8.5840567E-06    1.9002467E-04
    8.3700000E+00    9.4435542E-02    4.4221517E-06    1.9002500E-04
    8.5500000E+00    9.4112205E-02    2.2771751E-06    1.9002532E-04
    8.7300000E+00    9.3807100E-02    1.1722052E-06    1.9002563E-04
    8.9100000E+00    9.3522071E-02    6.0333265E-07    1.9002593E-04
    9.0900000E+00    9.3258919E-02    3.1073740E-07    1.9002623E-04
    9.2700000E+00    9.3019528E-02    1.6056805E-07    1.9002652E-04
    9.4500000E+00    9.2805924E-02    8.4015241E-08    1.9002680E-04
    9.6300000E+00    9.2620326E-02    4.5946701E-08    1.9002707E-04
    9.8100000E+00    9.2465180E-02    2.8870955E-08    1.9002733E-04
    9.9900000E+00    9.2343191E-02    2.4947065E-08    1.9002758E-04
    1.0170000E+01    9.2257350E-02    3.2411167E-08    1.9002783E-04
    1.0350000E+01    9.2210967E-02    5.4803738E-08    1.9002807E-04
    1.0530000E+01    9.2207701E-02    1.0266917E-07    1.9002830E-04
    1.0710000E+01    9.2251586E-02    1.9855254E-07    1.9002852E-04
    1.0890000E+01    9.2347068E-02    3.8767547E-07    1.9002873E-04
    1.1070000E+01    9.2499016E-02    7.5937098E-07    1.9002894E-04
    1.1250000E+01    9.2712730E-02    1.4894781E-06    1.9002913E-04
    1.1430000E+01    9.2993898E-02    2.9238724E-06    1.9002932E-04
    1.1610000E+01    9.3348475E-02    5.7428332E-06    1.9002950E-04
    1.1790000E+01    9.3782387E-02    1.1284051E-05    1.9002968E-04
    1.1970000E+01    9.4300895E-02    2.2175692E-05    1.9002984E-04
    1.2150000E+01    9.4907304E-02    4.3570096E-05    1.9003000E-04
    1.2330000E+01    9.5600390E-02    8.5519759E-05    1.9003015E-04
    1.2510000E+01    9.6373574E-02    1.6787870E-04    1.9003029E-04
    1.2690000E+01    9.7177726E-02    2.1389483E-04    1.9003043E-04
    1.2870000E+01    9.7993311E-02    2.4166243E-04    1.9003056E-04
    1.3050000E+01    9.8812151E-02    2.6049046E-04    1.9003069E-04
    1.3230000E+01    9.9629858E-02    2.7509461E-04    1.9003081E-04
    1.3410000E+01    1.0044390E-01    2.8790228E-04    1.9003093E-04
    1.3590000E+01    1.0125262E-01    3.0020008E-04    1.9003104E-04
    1.3770000E+01    1.0205478E-01    3.1270807E-04    1.9003115E-04
    1.3950000E+01    1.0284927E-01    3.2587042E-04    1.9003126E-04
    1.4130000E+01    1.0363503E-01    3.4000547E-04    1.9003135E-04
    1.4310000E+01    1.0441088E-01    3.5538647E-04    1.9003145E-04
    1.4490000E+01    1.0517557E-01    3.7228822E-04    1.9003154E-04
    1.4670000E+01    1.0592765E-01    3.9101750E-04    1.9003162E-04
    1.4850000E+01    1.0666549E-01    4.1193603E-04    1.9003170E-04
    1.5030000E+01    1.0738719E-01    4.3547996E-04    1.9003177E-04
    1.5210000E+01    1.0809061E-01    4.6217679E-04    1.9003184E-04
    1.5390000E+01    1.0877323E-01    4.9265816E-04    1.9003191E-04
    1.5570000E+01    1.0943219E-01    5.2766489E-04    1.9003197E-04
    1.5750000E+01    1.1006425E-01    5.6803770E-04    1.9003203E-04
    1.5930000E+01    1.1066574E-01    6.1468449E-04    1.9003208E-04
    1.6110000E+01    1.1123263E-01    6.6851271E-04    1.9003212E-04
    1.6290000E+01    1.1176059E-01    7.3031426E-04    1.9003217E-04
    1.6470000E+01    1.1224513E-01    8.0059261E-04    1.9003221E-04
    1.6650000E+01    1.1268182E-01    8.7932830E-04    1.9003224E-04
    1.6830000E+01    1.1306657E-01    9.6569207E-04    1.9003227E-04
    1.7010000E+01    1.1339600E-01    1.0577326E-03    1.9003229E-04
    1.7190000E+01    1.1366776E-01    1.1520855E-03    1.9003231E-04
    1.7370000E+01    1.1388090E-01    1.2437639E-03    1.9003233E-04
    1.7550000E+01    1.1403600E-01    1.3260899E-03    1.9003234E-04
    1.7730000E+01    1.1413530E-01    1.3908035E-03    1.9003235E-04
    1.7910000E+01    1.1418250E-01    1.4283492E-03    1.9003235E-04
