# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8741174E+00   -5.8676842E+00   -3.9999999E+00   -4.8024892E+00   -5.0228600E+00   -5.0643576E+00   -7.0784390E+00   -4.6087884E+00   -3.2146828E+00   -3.4641351E+00   -6.4486699E+00   -7.2776309E+00   -1.4396936E+01   -1.4000000E+01   -1.4000003E+01   -5.2083294E+00   -1.4000000E+01   -3.2715536E+00   -3.0000000E+01   -3.7774600E+00   -6.7777350E+00   -8.0071990E+00   -6.5952529E+00   -1.0923025E+01   -1.0744523E+01   -1.9130042E+01   -2.6750077E+01   -8.5846677E+00   -8.3464195E+00   -1.0812446E+01   -1.2542919E+01   -8.3611740E+00   -1.2504161E+01   -8.3251493E+00
    2.7000000E-01    5.9760408E+00   -5.9688017E+00   -3.9999999E+00   -4.5979523E+00   -4.7793224E+00   -4.8231665E+00   -7.6660454E+00   -4.3648191E+00   -3.2273119E+00   -3.4641880E+00   -6.4486740E+00   -7.3399969E+00   -1.4861078E+01   -1.4000000E+01   -1.4000003E+01   -4.9653560E+00   -1.4000000E+01   -3.2698294E+00   -3.0000000E+01   -3.6873174E+00   -7.1679204E+00   -8.1935375E+00   -7.0848413E+00   -1.0885942E+01   -1.1110647E+01   -1.9199110E+01   -2.7224024E+01   -8.4818972E+00   -8.1518331E+00   -1.0686912E+01   -1.2822264E+01   -8.3367154E+00   -1.2108402E+01   -8.0321614E+00
    4.5000000E-01    6.0561756E+00   -6.0482934E+00   -3.9999999E+00   -4.4791161E+00   -4.6482816E+00   -4.6275986E+00   -8.0777694E+00   -4.2348871E+00   -3.2394153E+00   -3.4642405E+00   -6.4486777E+00   -7.4709583E+00   -1.5095566E+01   -1.4000000E+01   -1.4000002E+01   -4.8379365E+00   -1.4000000E+01   -3.2681121E+00   -3.0000000E+01   -3.6186055E+00   -7.4244999E+00   -8.2898476E+00   -7.4195357E+00   -1.0938749E+01   -1.1268105E+01   -1.9335440E+01   -2.7466345E+01   -8.4010829E+00   -8.0009666E+00   -1.0672363E+01   -1.2913706E+01   -8.4016205E+00   -1.1841395E+01   -7.8459700E+00
    6.3000000E-01    6.1222768E+00   -6.1138592E+00   -3.9999999E+00   -4.3974303E+00   -4.5611190E+00   -4.4783916E+00   -8.3934019E+00   -4.1510737E+00   -3.2510932E+00   -3.4642927E+00   -6.4486809E+00   -7.6129683E+00   -1.5289086E+01   -1.4000000E+01   -1.4000001E+01   -4.7542034E+00   -1.4000000E+01   -3.2664016E+00   -3.0000000E+01   -3.5636129E+00   -7.6121960E+00   -8.3453412E+00   -7.6716450E+00   -1.1016309E+01   -1.1398102E+01   -1.9481936E+01   -2.7666396E+01   -8.3344134E+00   -7.8781849E+00   -1.0696065E+01   -1.2990963E+01   -8.4908546E+00   -1.1639180E+01   -7.7104260E+00
    8.1000000E-01    6.1787778E+00   -6.1698979E+00   -3.9999999E+00   -4.3362314E+00   -4.4953182E+00   -4.3652496E+00   -8.6523718E+00   -4.0917881E+00   -3.2624357E+00   -3.4643449E+00   -6.4486839E+00   -7.7411948E+00   -1.5454483E+01   -1.4000000E+01   -1.4000001E+01   -4.6914251E+00   -1.4000000E+01   -3.2646978E+00   -3.0000000E+01   -3.5179609E+00   -7.7618471E+00   -8.3819903E+00   -7.8763348E+00   -1.1089463E+01   -1.1509219E+01   -1.9614048E+01   -2.7837439E+01   -8.2774197E+00   -7.7745695E+00   -1.0724551E+01   -1.3058381E+01   -8.5753475E+00   -1.1476318E+01   -7.6045583E+00
    9.9000000E-01    6.2283383E+00   -6.2190484E+00   -3.9999999E+00   -4.2878875E+00   -4.4414073E+00   -4.2781908E+00   -8.8734580E+00   -4.0475539E+00   -3.2735163E+00   -3.4643969E+00   -6.4486866E+00   -7.8510722E+00   -1.5599509E+01   -1.4000000E+01   -1.4000001E+01   -4.6401601E+00   -1.4000000E+01   -3.2630006E+00   -3.0000000E+01   -3.4790417E+00   -7.8870785E+00   -8.4081006E+00   -8.0498263E+00   -1.1151049E+01   -1.1606651E+01   -1.9727380E+01   -2.7987479E+01   -8.2274208E+00   -7.6847893E+00   -1.0748092E+01   -1.3118629E+01   -8.6480106E+00   -1.1339930E+01   -7.5181701E+00
    1.1700000E+00    6.2726699E+00   -6.2630095E+00   -3.9999999E+00   -4.2482937E+00   -4.3950215E+00   -4.2096191E+00   -9.0672793E+00   -4.0134122E+00   -3.2843965E+00   -3.4644490E+00   -6.4486892E+00   -7.9460180E+00   -1.5729187E+01   -1.4000000E+01   -1.4000000E+01   -4.5960967E+00   -1.4000000E+01   -3.2613100E+00   -3.0000000E+01   -3.4451925E+00   -7.9951868E+00   -8.4275458E+00   -8.2010883E+00   -1.1202811E+01   -1.1693769E+01   -1.9825454E+01   -2.8121689E+01   -8.1826921E+00   -7.6054307E+00   -1.0766798E+01   -1.3173471E+01   -8.7106498E+00   -1.1222550E+01   -7.4455197E+00
    1.3500000E+00    6.3129401E+00   -6.3029407E+00   -3.9999999E+00   -4.2150021E+00   -4.3539964E+00   -4.1541830E+00   -9.2405044E+00   -3.9864594E+00   -3.2951307E+00   -3.4645011E+00   -6.4486917E+00   -8.0301231E+00   -1.5846954E+01   -1.4000000E+01   -1.4000000E+01   -4.5571228E+00   -1.4000000E+01   -3.2596260E+00   -3.0000000E+01   -3.4152914E+00   -8.0905702E+00   -8.4423889E+00   -8.3356620E+00   -1.1247698E+01   -1.1772885E+01   -1.9912427E+01   -2.8243606E+01   -8.1420576E+00   -7.5341795E+00   -1.0782511E+01   -1.3224127E+01   -8.7662674E+00   -1.1119449E+01   -7.3830540E+00
    1.5300000E+00    6.3499899E+00   -6.3396775E+00   -3.9999999E+00   -4.1864450E+00   -4.3171317E+00   -4.1082017E+00   -9.3973531E+00   -3.9648052E+00   -3.3057688E+00   -3.4645533E+00   -6.4486940E+00   -8.1062955E+00   -1.5955288E+01   -1.4000000E+01   -1.4000000E+01   -4.5220842E+00   -1.4000000E+01   -3.2579485E+00   -3.0000000E+01   -3.3885415E+00   -8.1758110E+00   -8.4535299E+00   -8.4569533E+00   -1.1287793E+01   -1.1845661E+01   -1.9991254E+01   -2.8355775E+01   -8.1046704E+00   -7.4693803E+00   -1.0796529E+01   -1.3271488E+01   -8.8169973E+00   -1.1027428E+01   -7.3284202E+00
    1.7100000E+00    6.3844382E+00   -6.3738346E+00   -3.9999999E+00   -4.1615624E+00   -4.2836639E+00   -4.0692250E+00   -9.5413055E+00   -3.9472232E+00   -3.3163581E+00   -3.4646055E+00   -6.4486963E+00   -8.1764245E+00   -1.6056010E+01   -1.4000000E+01   -1.4000000E+01   -4.4902538E+00   -1.4000000E+01   -3.2562728E+00   -3.0000000E+01   -3.3643674E+00   -8.2531842E+00   -8.4620067E+00   -8.5678434E+00   -1.1324379E+01   -1.1913321E+01   -2.0063855E+01   -2.8460067E+01   -8.0699077E+00   -7.4098268E+00   -1.0809568E+01   -1.3316218E+01   -8.8641698E+00   -1.0944235E+01   -7.2799908E+00
