# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.7922007E+00   -5.7849834E+00   -3.9999999E+00   -4.9032796E+00   -5.1719844E+00   -5.2056938E+00   -6.6745276E+00   -4.7326576E+00   -2.9011807E+00   -3.4764705E+00   -6.4486743E+00   -7.2628135E+00   -1.4062137E+01   -1.4000000E+01   -1.4000003E+01   -5.3558220E+00   -1.4000000E+01   -4.3847063E+00   -3.0000000E+01   -3.5450493E+00   -6.5439085E+00   -7.9372058E+00   -6.2770578E+00   -1.0992532E+01   -1.0495440E+01   -1.9121745E+01   -2.6424816E+01   -8.6657603E+00   -8.1934737E+00   -1.0651188E+01   -1.2064698E+01   -8.1171738E+00   -1.2455278E+01   -8.1951746E+00
    2.7000000E-01    5.8315610E+00   -5.8238199E+00   -3.9999999E+00   -4.6913420E+00   -4.9124070E+00   -5.0705145E+00   -7.0451175E+00   -4.4694411E+00   -2.9013095E+00   -3.4953254E+00   -6.4486761E+00   -7.1866602E+00   -1.4423672E+01   -1.4000000E+01   -1.4000004E+01   -5.0913013E+00   -1.4000000E+01   -5.4687446E+00   -3.0000000E+01   -3.5052639E+00   -6.8399529E+00   -8.1545297E+00   -6.6108179E+00   -1.0878630E+01   -1.0820145E+01   -1.9049964E+01   -2.6792733E+01   -8.6258468E+00   -8.1126835E+00   -1.0498605E+01   -1.2351812E+01   -8.0033975E+00   -1.2164745E+01   -7.9445561E+00
    4.5000000E-01    5.8692873E+00   -5.8610773E+00   -3.9999999E+00   -4.5593519E+00   -4.7643988E+00   -4.9220610E+00   -7.3330878E+00   -4.3181581E+00   -2.9040022E+00   -3.5146522E+00   -6.4486779E+00   -7.1608814E+00   -1.4532376E+01   -1.4000000E+01   -1.4000004E+01   -4.9443930E+00   -1.4000000E+01   -6.4100106E+00   -3.0000000E+01   -3.4697325E+00   -7.0562070E+00   -8.2953313E+00   -6.8633216E+00   -1.0816571E+01   -1.0893383E+01   -1.9028110E+01   -2.6907155E+01   -8.5876235E+00   -8.0379490E+00   -1.0402006E+01   -1.2391489E+01   -7.9440271E+00   -1.1959992E+01   -7.7780269E+00
    6.3000000E-01    5.9027474E+00   -5.8941184E+00   -3.9999999E+00   -4.4647371E+00   -4.6641565E+00   -4.7822838E+00   -7.5539515E+00   -4.2150031E+00   -2.9061795E+00   -3.5350352E+00   -6.4486794E+00   -7.1613690E+00   -1.4628818E+01   -1.4000000E+01   -1.4000004E+01   -4.8458512E+00   -1.4000000E+01   -6.8401502E+00   -3.0000000E+01   -3.4380032E+00   -7.2134886E+00   -8.3856926E+00   -7.0527401E+00   -1.0784892E+01   -1.0958379E+01   -1.9032114E+01   -2.7008711E+01   -8.5537177E+00   -7.9714365E+00   -1.0339488E+01   -1.2426523E+01   -7.9145222E+00   -1.1800631E+01   -7.6525723E+00
    8.1000000E-01    5.9321416E+00   -5.9231344E+00   -3.9999999E+00   -4.3915855E+00   -4.5896018E+00   -4.6600392E+00   -7.7333351E+00   -4.1383153E+00   -2.9074113E+00   -3.5566332E+00   -6.4486809E+00   -7.1752885E+00   -1.4713501E+01   -1.4000000E+01   -1.4000004E+01   -4.7730071E+00   -1.4000000E+01   -6.8895108E+00   -3.0000000E+01   -3.4094364E+00   -7.3370973E+00   -8.4505129E+00   -7.2045453E+00   -1.0770587E+01   -1.1015484E+01   -1.9049216E+01   -2.7098017E+01   -8.5239199E+00   -7.9122777E+00   -1.0297422E+01   -1.2456660E+01   -7.9014459E+00   -1.1669919E+01   -7.5516595E+00
    9.9000000E-01    5.9577531E+00   -5.9483996E+00   -3.9999999E+00   -4.3322291E+00   -4.5303252E+00   -4.5566262E+00   -7.8833079E+00   -4.0781542E+00   -2.9074222E+00   -3.5795901E+00   -6.4486822E+00   -7.1945995E+00   -1.4787178E+01   -1.4000000E+01   -1.4000003E+01   -4.7153486E+00   -1.4000000E+01   -6.8733778E+00   -3.0000000E+01   -3.3834647E+00   -7.4386051E+00   -8.5007976E+00   -7.3305657E+00   -1.0765358E+01   -1.1065209E+01   -1.9071446E+01   -2.7175928E+01   -8.4979379E+00   -7.8595955E+00   -1.0266961E+01   -1.2481880E+01   -7.8962253E+00   -1.1559348E+01   -7.4670705E+00
    1.1700000E+00    5.9796954E+00   -5.9700207E+00   -3.9999999E+00   -4.2823785E+00   -4.4806896E+00   -4.4701727E+00   -8.0098496E+00   -4.0291560E+00   -2.9058746E+00   -3.6040724E+00   -6.4486834E+00   -7.2138689E+00   -1.4850107E+01   -1.4000000E+01   -1.4000003E+01   -4.6672016E+00   -1.4000000E+01   -6.8496935E+00   -3.0000000E+01   -3.3596296E+00   -7.5238199E+00   -8.5421278E+00   -7.4367015E+00   -1.0763681E+01   -1.1107732E+01   -1.9093429E+01   -2.7242787E+01   -8.4756512E+00   -7.8127968E+00   -1.0242136E+01   -1.2501932E+01   -7.8929974E+00   -1.1464062E+01   -7.3940723E+00
    1.3500000E+00    5.9978984E+00   -5.9879223E+00   -3.9999999E+00   -4.2393769E+00   -4.4374425E+00   -4.3978900E+00   -8.1159192E+00   -3.9880874E+00   -2.9023331E+00   -3.6302787E+00   -6.4486846E+00   -7.2293265E+00   -1.4902017E+01   -1.4000000E+01   -1.4000003E+01   -4.6252892E+00   -1.4000000E+01   -6.8238023E+00   -3.0000000E+01   -3.3375604E+00   -7.5958835E+00   -8.5777854E+00   -7.5260077E+00   -1.0761871E+01   -1.1142879E+01   -1.9111437E+01   -2.7298388E+01   -8.4571242E+00   -7.7715641E+00   -1.0218903E+01   -1.2516292E+01   -7.8876430E+00   -1.1381110E+01   -7.3296480E+00
    1.5300000E+00    6.0121119E+00   -6.0018499E+00   -3.9999999E+00   -4.2014460E+00   -4.3986363E+00   -4.3370442E+00   -8.2026504E+00   -3.9528292E+00   -2.8962445E+00   -3.6584492E+00   -6.4486857E+00   -7.2383250E+00   -1.4942112E+01   -1.4000000E+01   -1.4000003E+01   -4.5876442E+00   -1.4000000E+01   -6.7959796E+00   -3.0000000E+01   -3.3169497E+00   -7.6564636E+00   -8.6099386E+00   -7.5998887E+00   -1.0757544E+01   -1.1170124E+01   -1.9122859E+01   -2.7341985E+01   -8.4426027E+00   -7.7358275E+00   -1.0194580E+01   -1.2524144E+01   -7.8772245E+00   -1.1308661E+01   -7.2717209E+00
    1.7100000E+00    6.0219089E+00   -6.0113732E+00   -3.9999999E+00   -4.1673156E+00   -4.3630558E+00   -4.2853031E+00   -8.2698975E+00   -3.9218914E+00   -2.8869231E+00   -3.6888778E+00   -6.4486869E+00   -7.2389643E+00   -1.4969077E+01   -1.4000000E+01   -1.4000003E+01   -4.5530328E+00   -1.4000000E+01   -6.7659935E+00   -3.0000000E+01   -3.2975351E+00   -7.7062950E+00   -8.6401760E+00   -7.6586421E+00   -1.0749237E+01   -1.1188595E+01   -1.9125822E+01   -2.7372305E+01   -8.4325103E+00   -7.7057409E+00   -1.0167448E+01   -1.2524369E+01   -7.8595935E+00   -1.1245612E+01   -7.2187654E+00
