# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    4.6550855E-08    5.2757411E-07    6.2009550E-06    3.5151238E-06
    2.7000000E-01    5.8178359E-08    8.0918991E-07    6.1302200E-06    3.4387263E-06
    4.5000000E-01    6.5648762E-08    1.0627263E-06    6.0710001E-06    3.3666995E-06
    6.3000000E-01    7.0785740E-08    1.2647048E-06    6.0241954E-06    3.3094180E-06
    8.1000000E-01    7.4450571E-08    1.4195044E-06    5.9889123E-06    3.2650913E-06
    9.9000000E-01    7.7148788E-08    1.5380650E-06    5.9625234E-06    3.2305797E-06
    1.1700000E+00    7.9192385E-08    1.6305894E-06    5.9424693E-06    3.2031536E-06
    1.3500000E+00    8.0777683E-08    1.7046487E-06    5.9268406E-06    3.1808168E-06
    1.5300000E+00    8.2031125E-08    1.7654391E-06    5.9143397E-06    3.1621906E-06
    1.7100000E+00    8.3037621E-08    1.8163299E-06    5.9041026E-06    3.1464013E-06
    1.8900000E+00    8.3885379E-08    1.8555869E-06    5.8945060E-06    3.1358872E-06
    2.0700000E+00    2.1378898E-10    4.4152418E-09    1.4607358E-08    8.0787100E-09
    2.2500000E+00    2.1734813E-10    4.2222783E-09    1.4503245E-08    8.2774407E-09
    2.4300000E+00    2.2047990E-10    4.0536331E-09    1.4417494E-08    8.4458928E-09
    2.6100000E+00    2.2325103E-10    3.9046115E-09    1.4345620E-08    8.5908589E-09
    2.7900000E+00    2.2571474E-10    3.7717122E-09    1.4284480E-08    8.7171992E-09
    2.9700000E+00    2.2791407E-10    3.6522607E-09    1.4231811E-08    8.8284890E-09
    3.1500000E+00    2.2988423E-10    3.5441718E-09    1.4185942E-08    8.9274209E-09
    3.3300000E+00    2.3165440E-10    3.4457915E-09    1.4145614E-08    9.0160641E-09
    3.5100000E+00    2.3324897E-10    3.3557876E-09    1.4109861E-08    9.0960370E-09
    3.6900000E+00    2.3468851E-10    3.2730729E-09    1.4077929E-08    9.1686251E-09
    3.8700000E+00    2.3599054E-10    3.1967500E-09    1.4049223E-08    9.2348634E-09
    4.0500000E+00    2.3717007E-10    3.1260698E-09    1.4023264E-08    9.2955956E-09
    4.2300000E+00    2.3824003E-10    3.0604020E-09    1.3999667E-08    9.3515168E-09
    4.4100000E+00    2.3921169E-10    2.9992110E-09    1.3978113E-08    9.4032053E-09
    4.5900000E+00    2.4009486E-10    2.9420387E-09    1.3958342E-08    9.4511467E-09
    4.7700000E+00    2.4089819E-10    2.8884904E-09    1.3940136E-08    9.4957518E-09
    4.9500000E+00    2.4162928E-10    2.8382241E-09    1.3923310E-08    9.5373709E-09
    5.1300000E+00    2.4229490E-10    2.7909412E-09    1.3907710E-08    9.5763046E-09
