# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -7.8080441E-02   -4.6932171E+00   -9.8126248E+00   -1.6234834E+00   -5.6725264E+01    9.6160810E-02    3.1904706E+00   -1.0854092E+01    2.6076380E-01    3.7209374E+00   -1.0271980E+01    1.7011071E-02   -4.5475132E+00   -3.2548866E+03    3.9085424E+00    1.6410711E+00
    2.7000000E-01    1.5837642E-01   -3.9479065E+00   -8.8883311E+00   -7.9444555E-01   -5.7153917E+01    1.8324279E-03    3.4140896E+00   -1.1110138E+01    7.6452318E-01    3.5884323E+00   -9.1358324E+00    2.5346794E-01   -4.0835427E+00   -3.2514490E+03    3.9067289E+00    1.3383617E+00
    4.5000000E-01    2.7583746E-01   -3.5586545E+00   -8.3004893E+00   -3.3532634E-01   -5.7532091E+01    1.7929318E-03    3.5235150E+00   -1.1365193E+01    1.0190420E+00    3.4736605E+00   -8.5113514E+00    3.7092897E-01   -3.7873058E+00   -3.2480393E+03    3.9049088E+00    1.1635147E+00
    6.3000000E-01    3.4692574E-01   -3.3133338E+00   -7.8600180E+00   -4.2542414E-02   -5.7842317E+01    1.7462625E-03    3.5712535E+00   -1.1565596E+01    1.1654071E+00    3.3707917E+00   -8.0931252E+00    4.4201725E-01   -3.5650971E+00   -3.2446568E+03    3.9030819E+00    1.0409921E+00
    8.1000000E-01    3.9398893E-01   -3.1439946E+00   -7.5029949E+00    1.5886511E-01   -5.8101411E+01    1.7216484E-03    3.5849630E+00   -1.1721356E+01    1.2544035E+00    3.2772200E+00   -7.7822740E+00    4.8908044E-01   -3.3849509E+00   -3.2413008E+03    3.9012484E+00    9.4714302E-01
    9.9000000E-01    4.2654249E-01   -3.0210761E+00   -7.2006271E+00    3.0408008E-01   -5.8325436E+01    1.7090009E-03    3.5786969E+00   -1.1849007E+01    1.3089665E+00    3.1908461E+00   -7.5383651E+00    5.2163400E-01   -3.2324083E+00   -3.2379708E+03    3.8994084E+00    8.7140250E-01
    1.1700000E+00    4.4948993E-01   -2.9288514E+00   -6.9374565E+00    4.1247592E-01   -5.8524463E+01    1.7018111E-03    3.5610772E+00   -1.1957757E+01    1.3418552E+00    3.1107254E+00   -7.3400395E+00    5.4458144E-01   -3.0996804E+00   -3.2346665E+03    3.8975622E+00    8.0839470E-01
    1.3500000E+00    4.6568302E-01   -2.8579898E+00   -6.7040188E+00    4.9561227E-01   -5.8704771E+01    1.6973330E-03    3.5374107E+00   -1.2052464E+01    1.3607266E+00    3.0363087E+00   -7.1743866E+00    5.6077453E-01   -2.9819869E+00   -3.2313871E+03    3.8957097E+00    7.5499328E-01
    1.5300000E+00    4.7691448E-01   -2.8026248E+00   -6.4939653E+00    5.6070028E-01   -5.8870560E+01    1.6943562E-03    3.5107729E+00   -1.2136130E+01    1.3702388E+00    2.9670459E+00   -7.0330870E+00    5.7200599E-01   -2.8761164E+00   -3.2281283E+03    3.8938512E+00    7.0913037E-01
    1.7100000E+00    4.8438537E-01   -2.7588492E+00   -6.3027463E+00    6.1244070E-01   -5.9024819E+01    1.6922811E-03    3.4829235E+00   -1.2210828E+01    1.3733309E+00    2.9023978E+00   -6.9104568E+00    5.7947688E-01   -2.7797696E+00   -3.2247470E+03    3.8919866E+00    6.6933546E-01
