# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -2.1663084E-01   -5.1280443E+00   -1.0117109E+01   -2.1371025E+00   -5.6521314E+01    1.4642255E-01    3.0171563E+00   -1.0775884E+01   -6.5143762E-02    3.7841414E+00   -1.0973524E+01   -1.2153933E-01   -4.7009120E+00   -3.2562056E+03    3.9087693E+00    1.8112235E+00
    2.7000000E-01    4.1183940E-02   -4.3496716E+00   -9.3408844E+00   -1.3236516E+00   -5.6721935E+01    1.7557795E-03    3.2447995E+00   -1.0905309E+01    4.6267757E-01    3.7139632E+00   -9.8530385E+00    1.3627545E-01   -4.3128111E+00   -3.2541326E+03    3.9074085E+00    1.5183196E+00
    4.5000000E-01    1.7890571E-01   -3.9201678E+00   -8.8439829E+00   -8.2849940E-01   -5.6949949E+01    1.8460159E-03    3.3891207E+00   -1.1075612E+01    7.5970256E-01    3.6385759E+00   -9.2079716E+00    2.7399722E-01   -4.0628865E+00   -3.2520700E+03    3.9060392E+00    1.3429041E+00
    6.3000000E-01    2.6798787E-01   -3.6328258E+00   -8.4699688E+00   -4.8582542E-01   -5.7168425E+01    1.8292856E-03    3.4872526E+00   -1.1241320E+01    9.5744829E-01    3.5721980E+00   -8.7694938E+00    3.6307938E-01   -3.8743944E+00   -3.2500174E+03    3.9046611E+00    1.2206331E+00
    8.1000000E-01    3.3100447E-01   -3.4246065E+00   -8.1652146E+00   -2.3606753E-01   -5.7365334E+01    1.7922593E-03    3.5484559E+00   -1.1387085E+01    1.0940261E+00    3.5096767E+00   -8.4420655E+00    4.2609598E-01   -3.7206631E+00   -3.2479748E+03    3.9032742E+00    1.1263558E+00
    9.9000000E-01    3.7792386E-01   -3.2662954E+00   -7.9052500E+00   -4.7265240E-02   -5.7540302E+01    1.7622558E-03    3.5835813E+00   -1.1510689E+01    1.1906906E+00    3.4498386E+00   -8.1826835E+00    4.7301537E-01   -3.5894691E+00   -3.2459420E+03    3.9018784E+00    1.0495173E+00
    1.1700000E+00    4.1410130E-01   -3.1413180E+00   -7.6771246E+00    1.0038717E-01   -5.7696990E+01    1.7419448E-03    3.6023228E+00   -1.1615369E+01    1.2614624E+00    3.3932826E+00   -7.9685744E+00    5.0919281E-01   -3.4743264E+00   -3.2439188E+03    3.9004738E+00    9.8506191E-01
    1.3500000E+00    4.4263733E-01   -3.0403105E+00   -7.4731691E+00    2.1862906E-01   -5.7839225E+01    1.7284695E-03    3.6096408E+00   -1.1706144E+01    1.3138600E+00    3.3394307E+00   -7.7874071E+00    5.3772885E-01   -3.3713859E+00   -3.2419051E+03    3.8990602E+00    9.2959994E-01
    1.5300000E+00    4.6547033E-01   -2.9573387E+00   -7.2884053E+00    3.1504067E-01   -5.7970001E+01    1.7192408E-03    3.6087643E+00   -1.1786720E+01    1.3526576E+00    3.2878086E+00   -7.6314645E+00    5.6056184E-01   -3.2781431E+00   -3.2399003E+03    3.8976377E+00    8.8095590E-01
    1.7100000E+00    4.8390861E-01   -2.8882205E+00   -7.1193131E+00    3.9491134E-01   -5.8091551E+01    1.7126612E-03    3.6022687E+00   -1.1859321E+01    1.3813940E+00    3.2383189E+00   -7.4952563E+00    5.7900012E-01   -3.1928251E+00   -3.2378709E+03    3.8962062E+00    8.3777276E-01
