# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -3.5503591E-02   -4.5952125E+00   -9.6369118E+00   -1.5741518E+00   -5.6520244E+01    9.6074174E-02    3.1968597E+00   -1.0893151E+01    3.0948333E-01    3.7631486E+00   -1.0250530E+01    5.9587920E-02   -4.4608887E+00   -4.9393562E+03    3.6347847E+00    1.6195998E+00
    2.7000000E-01    2.1383275E-01   -3.8250789E+00   -8.7827635E+00   -7.3682272E-01   -5.6698380E+01    1.7595484E-03    3.4344679E+00   -1.1055205E+01    8.3182645E-01    3.6621004E+00   -9.1169322E+00    3.0892426E-01   -4.0326183E+00   -6.4738995E+03    3.1446358E+00    1.3197394E+00
    4.5000000E-01    3.4213767E-01   -3.4156160E+00   -8.2432827E+00   -2.6784192E-01   -5.6841988E+01    1.7724545E-03    3.5577976E+00   -1.1217527E+01    1.1032372E+00    3.5730592E+00   -8.4901062E+00    4.3722918E-01   -3.7610365E+00   -6.9816203E+03    2.6243568E+00    1.1469139E+00
    6.3000000E-01    4.2330856E-01   -3.1520743E+00   -7.8449809E+00    3.5051234E-02   -5.6922565E+01    1.7401516E-03    3.6210837E+00   -1.1340037E+01    1.2666007E+00    3.4957939E+00   -8.0745636E+00    5.1840007E-01   -3.5603132E+00   -6.9765329E+03    2.0680047E+00    1.0271103E+00
    8.1000000E-01    4.8037013E-01   -2.9649843E+00   -7.5292996E+00    2.4669991E-01   -5.6943083E+01    1.7132328E-03    3.6530087E+00   -1.1419830E+01    1.3740055E+00    3.4301933E+00   -7.7697318E+00    5.7546165E-01   -3.4012165E+00   -6.9470925E+03    1.4704847E+00    9.3724845E-01
    9.9000000E-01    5.2313139E-01   -2.8245898E+00   -7.2699705E+00    4.0167399E-01   -5.6910932E+01    1.6943486E-03    3.6668651E+00   -1.1466307E+01    1.4480031E+00    3.3745982E+00   -7.5346700E+00    6.1822290E-01   -3.2705794E+00   -6.9148266E+03    8.2555550E-01    8.6668962E-01
    1.1700000E+00    5.5677123E-01   -2.7144568E+00   -7.0529176E+00    5.1971430E-01   -5.6831213E+01    1.6795295E-03    3.6721551E+00   -1.1485793E+01    1.5022366E+00    3.3291276E+00   -7.3475231E+00    6.5186274E-01   -3.1613218E+00   -6.8798469E+03    1.2540400E-01    8.1031448E-01
    1.3500000E+00    5.8436677E-01   -2.6248139E+00   -6.8695569E+00    6.1265423E-01   -5.6706368E+01    1.6656222E-03    3.6744652E+00   -1.1482155E+01    1.5447477E+00    3.2936888E+00   -7.1952900E+00    6.7945828E-01   -3.0691140E+00   -6.8416715E+03   -6.3992126E-01    7.6499957E-01
    1.5300000E+00    6.0791000E-01   -2.5493982E+00   -6.7141071E+00    6.8800074E-01   -5.6536873E+01    1.6502987E-03    3.6770281E+00   -1.1457669E+01    1.5804793E+00    3.2679917E+00   -7.0694715E+00    7.0300151E-01   -2.9910351E+00   -6.7996648E+03   -1.4833588E+00    7.2860775E-01
    1.7100000E+00    6.2879223E-01   -2.4839068E+00   -6.5823382E+00    7.5075991E-01   -5.6321659E+01    1.6313175E-03    3.6816236E+00   -1.1413733E+01    1.6125685E+00    3.2515925E+00   -6.9640407E+00    7.2388374E-01   -2.9249511E+00   -6.7529424E+03   -2.4221534E+00    6.9952594E-01
    1.8900000E+00    6.4850760E-01   -2.4239297E+00   -6.4701814E+00    8.0446057E-01   -5.6058662E+01    1.6046106E-03    3.6881053E+00   -1.1352550E+01    1.6431182E+00    3.2438042E+00   -6.8730525E+00    7.4359911E-01   -2.8690492E+00   -6.6667145E+03   -3.4799993E+00    6.7591645E-01
    2.0700000E+00    6.8526751E-01   -2.2267136E+00   -6.3492966E+00    9.4784000E-01   -5.5795433E+01    1.2502661E-03    3.9405279E+00   -1.1197376E+01    1.8914886E+00    3.4263672E+00   -6.6417688E+00    7.8035902E-01   -2.8171843E+00   -4.8861719E+03   -4.6822499E+00    7.3043801E-01
    2.2500000E+00    7.1794750E-01   -2.1342002E+00   -6.2346805E+00    9.8952863E-01   -5.5489026E+01    1.2003789E-03    3.9076250E+00   -1.1149387E+01    1.9157031E+00    3.4171357E+00   -6.5193966E+00    8.1303901E-01   -2.7667714E+00   -4.8042410E+03   -5.9676805E+00    6.9314228E-01
    2.4300000E+00    7.4704359E-01   -2.0501742E+00   -6.1253615E+00    1.0254083E+00   -5.5163013E+01    1.1710943E-03    3.8748151E+00   -1.1074738E+01    1.9353464E+00    3.4066383E+00   -6.3994436E+00    8.4213510E-01   -2.7177585E+00   -4.7348969E+03   -7.3527708E+00    6.5879748E-01
    2.6100000E+00    7.7296290E-01   -1.9736815E+00   -6.0206723E+00    1.0561460E+00   -5.4819633E+01    1.1427629E-03    3.8422978E+00   -1.0986120E+01    1.9511630E+00    3.3952219E+00   -6.2837881E+00    8.6805441E-01   -2.6701112E+00   -4.6609665E+03   -8.8526968E+00    6.2716998E-01
    2.7900000E+00    7.9604650E-01   -1.9039243E+00   -5.9200054E+00    1.0822919E+00   -5.4455964E+01    1.1096101E-03    3.8101010E+00   -1.0886452E+01    1.9636677E+00    3.3830464E+00   -6.1720700E+00    8.9113801E-01   -2.6237392E+00   -4.5808610E+03   -1.0486384E+01    5.9799862E-01
    2.9700000E+00    8.1657799E-01   -1.8402185E+00   -5.8227783E+00    1.1043211E+00   -5.4067491E+01    1.0687763E-03    3.7781875E+00   -1.0776408E+01    1.9732475E+00    3.3701666E+00   -6.0634908E+00    9.1166950E-01   -2.5785071E+00   -4.4935881E+03   -1.2277418E+01    5.7102725E-01
    3.1500000E+00    8.3479160E-01   -1.7819816E+00   -5.7284257E+00    1.1226415E+00   -5.3648665E+01    1.0179254E-03    3.7464711E+00   -1.0656189E+01    1.9801883E+00    3.3565571E+00   -5.9572323E+00    9.2988311E-01   -2.5342487E+00   -4.3980371E+03   -1.4255477E+01    5.4600886E-01
    3.3300000E+00    8.5087945E-01   -1.7287209E+00   -5.6363954E+00    1.1376038E+00   -5.3192767E+01    9.5475676E-04    3.7148298E+00   -1.0526026E+01    1.9846953E+00    3.3421292E+00   -5.8525633E+00    9.4597096E-01   -2.4907760E+00   -4.2929523E+03   -1.6458251E+01    5.2270708E-01
    3.5100000E+00    8.6499786E-01   -1.6800209E+00   -5.5461460E+00    1.1495094E+00   -5.2691542E+01    8.7712955E-04    3.6831154E+00   -1.0386403E+01    1.9869094E+00    3.3267459E+00   -5.7488815E+00    9.6008937E-01   -2.4478866E+00   -4.1770036E+03   -1.8933915E+01    5.0089704E-01
    3.6900000E+00    8.7727325E-01   -1.6355328E+00   -5.4571538E+00    1.1586189E+00   -5.2134716E+01    7.8360477E-04    3.6511658E+00   -1.0238219E+01    1.9869227E+00    3.3102377E+00   -5.6457496E+00    9.7236476E-01   -2.4053720E+00   -4.0489968E+03   -2.1744082E+01    4.8036754E-01
    3.8700000E+00    8.8780804E-01   -1.5949640E+00   -5.3689326E+00    1.1651575E+00   -5.1509498E+01    6.7443322E-04    3.6188238E+00   -1.0082941E+01    1.9847965E+00    3.2924267E+00   -5.5429442E+00    9.8289955E-01   -2.3630311E+00   -3.9083487E+03   -2.4966713E+01    4.6092724E-01
    4.0500000E+00    8.9668750E-01   -1.5580692E+00   -5.2810791E+00    1.1693197E+00   -5.0800313E+01    5.5290545E-04    3.5859690E+00   -9.9227185E+00    1.9805866E+00    3.2731686E+00   -5.4405200E+00    9.9177901E-01   -2.3206963E+00   -3.7559727E+03   -2.8697413E+01    4.4241870E-01
    4.2300000E+00    9.0398835E-01   -1.5246407E+00   -5.1933537E+00    1.1712721E+00   -4.9989300E+01    4.2651153E-04    3.5525718E+00   -9.7604001E+00    1.9743814E+00    3.2524207E+00   -5.3388839E+00    9.9907986E-01   -2.2782749E+00   -3.5954856E+03   -3.3045710E+01    4.2474393E-01
    4.4100000E+00    9.0978930E-01   -1.4944977E+00   -5.1057898E+00    1.1711539E+00   -4.9058320E+01    3.0663213E-04    3.5187641E+00   -9.5993487E+00    1.9663493E+00    3.2303330E+00   -5.2388453E+00    1.0048808E+00   -2.2358061E+00   -3.4338907E+03   -3.8121856E+01    4.0789915E-01
    4.5900000E+00    9.1418161E-01   -1.4674734E+00   -5.0187755E+00    1.1690810E+00   -4.7992598E+01    2.0543264E-04    3.4848903E+00   -9.4429790E+00    1.9567778E+00    3.2073168E+00   -5.1415691E+00    1.0092731E+00   -2.1935022E+00   -3.2802258E+03   -4.4013808E+01    3.9199873E-01
    4.7700000E+00    9.1727476E-01   -1.4433958E+00   -4.9329992E+00    1.1651575E+00   -4.6784304E+01    1.3078060E-04    3.4514720E+00   -9.2941024E+00    1.9460617E+00    3.1840083E+00   -5.0483488E+00    1.0123663E+00   -2.1517227E+00   -3.1421313E+03   -5.0765242E+01    3.7725131E-01
    4.9500000E+00    9.1919354E-01   -1.4220703E+00   -4.8492261E+00    1.1594946E+00   -4.5433567E+01    8.3028556E-05    3.4190610E+00   -9.1543858E+00    1.9346248E+00    3.1610978E+00   -4.9602461E+00    1.0142851E+00   -2.1108628E+00   -3.0231157E+03   -5.8370334E+01    3.6387726E-01
    5.1300000E+00    9.2006840E-01   -1.4032727E+00   -4.7680448E+00    1.1522245E+00   -4.3946479E+01    5.6459060E-05    3.3880754E+00   -9.0242375E+00    1.9228259E+00    3.1391320E+00   -4.8778163E+00    1.0151599E+00   -2.0712273E+00   -2.9226515E+03   -6.6787248E+01    3.5201953E-01
    5.3100000E+00    9.2002515E-01   -1.3867592E+00   -4.6897539E+00    1.1434983E+00   -4.2332046E+01    4.3468045E-05    3.3587278E+00   -8.9031235E+00    1.9109107E+00    3.1184240E+00   -4.8010859E+00    1.0151167E+00   -2.0329743E+00   -2.8380249E+03   -7.5957648E+01    3.4170880E-01
    5.4900000E+00    9.1917834E-01   -1.3722855E+00   -4.6144020E+00    1.1334735E+00   -4.0599838E+01    3.7813795E-05    3.3310559E+00   -8.7900365E+00    1.8990208E+00    3.0990833E+00   -4.7297215E+00    1.0142699E+00   -1.9961355E+00   -2.7660420E+03   -8.5821134E+01    3.3288525E-01
    5.6700000E+00    9.1762891E-01   -1.3596223E+00   -4.5418887E+00    1.1223009E+00   -3.8758797E+01    3.5595194E-05    3.3049929E+00   -8.6838669E+00    1.8872284E+00    3.0810941E+00   -4.6632291E+00    1.0127204E+00   -1.9606668E+00   -2.7038984E+03   -9.6322241E+01    3.2544007E-01
    5.8500000E+00    9.1546449E-01   -1.3485633E+00   -4.4720486E+00    1.1101167E+00   -3.6816853E+01    3.4801602E-05    3.2804262E+00   -8.5835995E+00    1.8755669E+00    3.0643827E+00   -4.6010908E+00    1.0105560E+00   -1.9264907E+00   -2.6494123E+03   -1.0741239E+02    3.1924881E-01
    6.0300000E+00    9.1276086E-01   -1.3389273E+00   -4.4047015E+00    1.0970404E+00   -3.4780974E+01    3.4540352E-05    3.2572316E+00   -8.4883794E+00    1.8640508E+00    3.0488572E+00   -4.5428289E+00    1.0078524E+00   -1.8935217E+00   -2.6009669E+03   -1.1904930E+02    3.1418967E-01
    6.2100000E+00    9.0958374E-01   -1.3305559E+00   -4.3396738E+00    1.0831754E+00   -3.2657514E+01    3.4460517E-05    3.2352890E+00   -8.3975105E+00    1.8526858E+00    3.0344254E+00   -4.4880257E+00    1.0046752E+00   -1.8616767E+00   -2.5573756E+03   -1.3119480E+02    3.1015087E-01
    6.3900000E+00    9.0599033E-01   -1.3233111E+00   -4.2768060E+00    1.0686107E+00   -3.0453271E+01    3.4437640E-05    3.2144871E+00   -8.3104306E+00    1.8414729E+00    3.0210014E+00   -4.4363229E+00    1.0010818E+00   -1.8308792E+00   -2.5177595E+03   -1.4380858E+02    3.0703229E-01
