# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    3.9553215E-02    2.0997661E-01    1.9000045E-04
    2.7000000E-01    3.8726209E-02    2.0992983E-01    1.9000135E-04
    4.5000000E-01    3.7948821E-02    2.0988290E-01    1.9000222E-04
    6.3000000E-01    3.7211783E-02    2.0983584E-01    1.9000307E-04
    8.1000000E-01    3.6508131E-02    2.0978864E-01    1.9000389E-04
    9.9000000E-01    3.5832437E-02    2.0974132E-01    1.9000470E-04
    1.1700000E+00    3.5180351E-02    2.0969387E-01    1.9000550E-04
    1.3500000E+00    3.4548302E-02    2.0964631E-01    1.9000627E-04
    1.5300000E+00    3.3933275E-02    2.0959863E-01    1.9000703E-04
    1.7100000E+00    3.3332648E-02    2.0955084E-01    1.9000777E-04
    1.8900000E+00    3.2744069E-02    2.0950294E-01    1.9000850E-04
    2.0700000E+00    3.2169131E-02    2.0945524E-01    1.9000921E-04
    2.2500000E+00    3.1613790E-02    2.0940774E-01    1.9000990E-04
    2.4300000E+00    3.1073419E-02    2.0936011E-01    1.9001057E-04
    2.6100000E+00    3.0546884E-02    2.0931236E-01    1.9001122E-04
    2.7900000E+00    3.0033208E-02    2.0926449E-01    1.9001187E-04
    2.9700000E+00    2.9531542E-02    2.0921650E-01    1.9001249E-04
    3.1500000E+00    2.9041141E-02    2.0916839E-01    1.9001310E-04
    3.3300000E+00    2.8561348E-02    2.0912015E-01    1.9001370E-04
    3.5100000E+00    2.8091579E-02    2.0907180E-01    1.9001429E-04
    3.6900000E+00    2.7631311E-02    2.0902333E-01    1.9001486E-04
    3.8700000E+00    2.7180071E-02    2.0897473E-01    1.9001542E-04
    4.0500000E+00    2.6737437E-02    2.0892601E-01    1.9001597E-04
    4.2300000E+00    2.6303020E-02    2.0887718E-01    1.9001650E-04
    4.4100000E+00    2.5876469E-02    2.0882822E-01    1.9001702E-04
    4.5900000E+00    2.5457463E-02    2.0877914E-01    1.9001753E-04
    4.7700000E+00    2.5045707E-02    2.0872993E-01    1.9001803E-04
    4.9500000E+00    2.4640929E-02    2.0868061E-01    1.9001851E-04
    5.1300000E+00    2.4242881E-02    2.0863116E-01    1.9001898E-04
    5.3100000E+00    2.3851332E-02    2.0858158E-01    1.9001945E-04
    5.4900000E+00    2.3466070E-02    2.0853189E-01    1.9001990E-04
    5.6700000E+00    2.3086896E-02    2.0848206E-01    1.9002034E-04
    5.8500000E+00    2.2713630E-02    2.0843212E-01    1.9002077E-04
    6.0300000E+00    2.2346104E-02    2.0838205E-01    1.9002118E-04
    6.2100000E+00    2.1984160E-02    2.0833185E-01    1.9002159E-04
    6.3900000E+00    2.1627656E-02    2.0828153E-01    1.9002199E-04
    6.5700000E+00    2.1276459E-02    2.0823108E-01    1.9002237E-04
