# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -5.6077468E-04    1.0000000E-04    3.1525524E-05    1.9909895E-05    1.7764696E-05    2.4144502E-07    5.3961706E-05    2.6008215E-03    3.4341244E-04    3.5588216E-07    6.1269838E-08    1.6118204E-11    1.0000000E-14    1.0000000E-14    1.3061895E-05    1.0000000E-14    5.3794208E-04    1.0000000E-30
    2.7000000E-01   -6.5736090E-04    1.0000000E-04    5.5563083E-05    3.6466235E-05    3.6241035E-05    8.9889208E-08    9.6238583E-05    2.6546662E-03    3.4332616E-04    3.5587371E-07    5.2941268E-08    9.5902039E-12    1.0000000E-14    1.0000000E-14    2.3777393E-05    1.0000000E-14    5.4305064E-04    1.0000000E-30
    4.5000000E-01   -7.4616314E-04    1.0000000E-04    7.6460186E-05    5.1196729E-05    5.6236592E-05    4.7915275E-08    1.2868895E-04    2.7032349E-03    3.4324051E-04    3.5586611E-07    4.1715489E-08    7.3104845E-12    1.0000000E-14    1.0000000E-14    3.3075876E-05    1.0000000E-14    5.4815918E-04    1.0000000E-30
    6.3000000E-01   -8.2871211E-04    1.0000000E-04    9.5003026E-05    6.4966105E-05    7.5681154E-05    3.0125961E-08    1.5372465E-04    2.7476463E-03    3.4315526E-04    3.5585911E-07    3.3246231E-08    5.8104715E-12    1.0000000E-14    1.0000000E-14    4.1622443E-05    1.0000000E-14    5.5326776E-04    1.0000000E-30
    8.1000000E-01   -9.0618620E-04    1.0000000E-04    1.1170385E-04    7.8216488E-05    9.3727991E-05    2.0889797E-08    1.7303200E-04    2.7887222E-03    3.4307027E-04    3.5585256E-07    2.7286926E-08    4.7588955E-12    1.0000000E-14    1.0000000E-14    4.9755087E-05    1.0000000E-14    5.5837635E-04    1.0000000E-30
    9.9000000E-01   -9.7945608E-04    1.0000000E-04    1.2691814E-04    9.1137012E-05    1.1022756E-04    1.5487512E-08    1.8783057E-04    2.8270506E-03    3.4298545E-04    3.5584637E-07    2.2971769E-08    3.9860474E-12    1.0000000E-14    1.0000000E-14    5.7624994E-05    1.0000000E-14    5.6348496E-04    1.0000000E-30
    1.1700000E+00   -1.0491807E-03    1.0000000E-04    1.4090334E-04    1.0380049E-04    1.2531455E-04    1.2066383E-08    1.9904212E-04    2.8630630E-03    3.4290074E-04    3.5584048E-07    1.9713622E-08    3.3970101E-12    1.0000000E-14    1.0000000E-14    6.5296140E-05    1.0000000E-14    5.6859360E-04    1.0000000E-30
    1.3500000E+00   -1.1158652E-03    1.0000000E-04    1.5385203E-04    1.1623417E-04    1.3919446E-04    9.7704516E-09    2.0737361E-04    2.8970778E-03    3.4281613E-04    3.5583483E-07    1.7165849E-08    2.9349813E-12    1.0000000E-14    1.0000000E-14    7.2796379E-05    1.0000000E-14    5.7370262E-04    1.0000000E-30
    1.5300000E+00   -1.1799027E-03    1.0000000E-04    1.6591232E-04    1.2845016E-04    1.5206152E-04    8.1597198E-09    2.1337532E-04    2.9293311E-03    3.4273156E-04    3.5582940E-07    1.5118595E-08    2.5640590E-12    1.0000000E-14    1.0000000E-14    8.0139929E-05    1.0000000E-14    5.7882276E-04    1.0000000E-30
    1.7100000E+00   -1.2416070E-03    1.0000000E-04    1.7720515E-04    1.4045843E-04    1.6406378E-04    6.9892756E-09    2.1748805E-04    2.9600000E-03    3.4264703E-04    3.5582416E-07    1.3437705E-08    2.2605057E-12    1.0000000E-14    1.0000000E-14    8.7339708E-05    1.0000000E-14    5.8427331E-04    1.0000000E-30
