# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997436427159E-05   7.24993739036106E-05   3.48136754928011E-09   6.81014910799390E-06   4.31999999085803E-05   1.21002890942407E-05   8.78999732016035E-07   5.27999951027260E-09   5.96999010148165E+00   2.77204111883510E-03   3.43448887816340E-04
  2.00000E-09                2.88997426996202E-05   7.24993715795205E-05   3.48273536667187E-09   6.81014860999756E-06   4.31999998171602E-05   1.21002882030650E-05   8.78999464032439E-07   5.27999902054600E-09   5.96998983279470E+00   2.77204093611086E-03   3.43448887829621E-04
  3.00000E-09                2.88997418611304E-05   7.24993694989343E-05   3.48410291636442E-09   6.81014805302874E-06   4.31999997257445E-05   1.21002871964670E-05   8.78999196049017E-07   5.27999853081847E-09   5.96998963305160E+00   2.77204079332809E-03   3.43448887868491E-04
  4.00000E-09                2.88997409863526E-05   7.24993673217661E-05   3.48547046598053E-09   6.81014751846698E-06   4.31999996343294E-05   1.21002862338022E-05   8.78998928065810E-07   5.27999804109106E-09   5.96998948080142E+00   2.77204068171367E-03   3.43448887897452E-04
  5.00000E-09                2.88997400839172E-05   7.24993650710851E-05   3.48683801539183E-09   6.81014700103439E-06   4.31999995429149E-05   1.21002853047161E-05   8.78998660082787E-07   5.27999755136370E-09   5.96998936420019E+00   2.77204059350586E-03   3.43448887918852E-04
  7.00000E-09                2.88997381700423E-05   7.24993602895143E-05   3.48957391716821E-09   6.81014603186254E-06   4.31999993600847E-05   1.21002835752914E-05   8.78998124117459E-07   5.27999657190972E-09   5.96998921520223E+00   2.77204047403842E-03   3.43448887932734E-04
  1.10000E-08                2.88997342968462E-05   7.24993505901702E-05   3.49504303399293E-09   6.81014412424444E-06   4.31999989944291E-05   1.21002801767571E-05   8.78997052188239E-07   5.27999461300128E-09   5.96998906669463E+00   2.77204032967034E-03   3.43448887946738E-04
  1.90000E-08                2.88997264687501E-05   7.24993309644416E-05   3.50598338240895E-09   6.81014036138098E-06   4.31999982630971E-05   1.21002734823995E-05   8.78994908336520E-07   5.27999069518851E-09   5.96998893330197E+00   2.77204014869620E-03   3.43448887951525E-04
  3.50000E-08                2.88997107163751E-05   7.24992914610241E-05   3.52786395688505E-09   6.81013289407822E-06   4.31999968003562E-05   1.21002602082378E-05   8.78990620657279E-07   5.27998285957483E-09   5.96998876843969E+00   2.77203985385213E-03   3.43448887935254E-04
  6.70000E-08                2.88996791494553E-05   7.24992122967723E-05   3.57162461597755E-09   6.81011799684661E-06   4.31999938745535E-05   1.21002337331214E-05   8.78982045394711E-07   5.27996718839502E-09   5.96998847272260E+00   2.77203928739983E-03   3.43448887886357E-04
  1.31000E-07                2.88996159941651E-05   7.24990539149971E-05   3.65914404078915E-09   6.81008821552276E-06   4.31999880216324E-05   1.21001808085815E-05   8.78964895252948E-07   5.27993584622535E-09   5.96998788700169E+00   2.77203815867607E-03   3.43448887782930E-04
  2.59000E-07                2.88994896810062E-05   7.24987371451594E-05   3.83417646602825E-09   6.81002865607056E-06   4.31999763102959E-05   1.21000749656045E-05   8.78930596502820E-07   5.27987316264570E-09   5.96998671601546E+00   2.77203590164066E-03   3.43448887575089E-04
  5.15000E-07                2.88992370605156E-05   7.24981036200701E-05   4.18419944263394E-09   6.80990954110421E-06   4.31999528637956E-05   1.20998632866908E-05   8.78862005135571E-07   5.27974779852509E-09   5.96998437407424E+00   2.77203138771641E-03   3.43448887159452E-04
  1.02700E-06                2.88987318448197E-05   7.24968366330511E-05   4.88409490661686E-09   6.80967132560110E-06   4.31999058606710E-05   1.20994399544480E-05   8.78724846928540E-07   5.27949708243794E-09   5.96997969026799E+00   2.77202236037388E-03   3.43448886328900E-04
  2.05100E-06                2.88977215118192E-05   7.24943029049249E-05   6.28314807166940E-09   6.80919495328378E-06   4.31998112951072E-05   1.20985933942529E-05   8.78450628588111E-07   5.27899569887532E-09   5.96997032273448E+00   2.77200430762060E-03   3.43448884670138E-04
  4.09900E-06                2.88957012374915E-05   7.24892364277149E-05   9.07738711221856E-09   6.80824244242262E-06   4.31996189728173E-05   1.20969006892694E-05   8.77902583914052E-07   5.27799312615821E-09   5.96995158683967E+00   2.77196820912424E-03   3.43448881361974E-04
  8.19500E-06                2.88916622534676E-05   7.24791073857036E-05   1.46435830834563E-08   6.80633835415201E-06   4.31992143672789E-05   1.20935169379366E-05   8.76808060323390E-07   5.27598875804912E-09   5.96991410319959E+00   2.77189603480728E-03   3.43448874783068E-04
  1.63870E-05                2.88835904638318E-05   7.24588647596699E-05   2.56271075857397E-08   6.80253386836934E-06   4.31982684478720E-05   1.20867559927581E-05   8.74625258520412E-07   5.27198312867457E-09   5.96983902082200E+00   2.77175173415767E-03   3.43448861774736E-04
  3.27710E-05                2.88674708743349E-05   7.24184395845060E-05   4.66072991788142E-08   6.79493927469687E-06   4.31954260891373E-05   1.20732596435945E-05   8.70284502385423E-07   5.26398427767658E-09   5.96968791514769E+00   2.77146301875508E-03   3.43448836354565E-04
  6.55390E-05                2.88353233175644E-05   7.23378189385140E-05   8.25859979521159E-08   6.77980520910583E-06   4.31838823516435E-05   1.20463648323943E-05   8.61701382389253E-07   5.24803605020085E-09   5.96937949690061E+00   2.77088352996599E-03   3.43448787883995E-04
  1.31075E-04                2.87713895685747E-05   7.21774835087016E-05   1.29386271368478E-07   6.74975288748675E-06   4.31361096015124E-05   1.19929582874792E-05   8.44920943138557E-07   5.21633624946591E-09   5.96873639351470E+00   2.76971474777110E-03   3.43448700132820E-04
