# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  8.76000E-06                7.30008016045767E-07   4.11499670304021E-06   5.97010803003090E-07   2.17002318566124E-07   3.43032315032050E-07   8.08008711641740E-07   4.00000650441687E-08   7.38905609664214E-14   5.80000265539008E+00   1.75671597808542E-05   2.64820730577682E-04
  1.75200E-05                7.30016595939283E-07   4.11500498597844E-06   5.97021604718308E-07   2.17003373500327E-07   3.43064628545756E-07   8.08012614766783E-07   4.00001300883365E-08   1.47077765347719E-13   5.80000575397886E+00   1.75671704133673E-05   2.64820730559404E-04
  2.62800E-05                7.30025176007048E-07   4.11501327443912E-06   5.97032406870077E-07   2.17004427838879E-07   3.43096941603740E-07   8.08016515603555E-07   4.00001951323058E-08   1.87096368797099E-13   5.80000885272394E+00   1.75671810443603E-05   2.64820730542639E-04
  3.50400E-05                7.30033756024009E-07   4.11502156287757E-06   5.97043208946228E-07   2.17005482177167E-07   3.43129254434592E-07   8.08020416439054E-07   4.00002601763292E-08   2.36137203337121E-13   5.80001195143819E+00   1.75671916753351E-05   2.64820730525875E-04
  4.38000E-05                7.30042335990014E-07   4.11502985129021E-06   5.97054010946649E-07   2.17006536515601E-07   3.43161567038429E-07   8.08024317274862E-07   4.00003252203653E-08   2.87262547928741E-13   5.80001505012151E+00   1.75672023062925E-05   2.64820730509110E-04
  6.13200E-05                7.30059496353207E-07   4.11504643481672E-06   5.97075615206040E-07   2.17008644473629E-07   3.43226196583027E-07   8.08032116185451E-07   4.00004553087255E-08   4.10131262907469E-13   5.80002124759710E+00   1.75672235667903E-05   2.64820730477334E-04
  9.63600E-05                7.30093816865672E-07   4.11507960168161E-06   5.97118823636376E-07   2.17012860405177E-07   3.43355462526111E-07   8.08047714061372E-07   4.00007154858680E-08   6.71636151861171E-13   5.80003364211862E+00   1.75672660880707E-05   2.64820730413782E-04
  1.66440E-04                7.30162450326937E-07   4.11514593301984E-06   5.97205228166113E-07   2.17021292141107E-07   3.43613909972623E-07   8.08078909328162E-07   4.00012358370664E-08   1.04481632429217E-12   5.80005842944285E+00   1.75673511255303E-05   2.64820730286670E-04
  3.06600E-04                7.30299707121124E-07   4.11527859101002E-06   5.97378023837640E-07   2.17038155675026E-07   3.44130802714065E-07   8.08141300046468E-07   4.00022765420273E-08   1.92710438315841E-12   5.80010799720195E+00   1.75675211996044E-05   2.64820730032418E-04
  5.86920E-04                7.30574166799380E-07   4.11554388499500E-06   5.97723537702427E-07   2.17071882612203E-07   3.45164355943748E-07   8.08266080811330E-07   4.00043579519967E-08   3.70084927784143E-12   5.80020710520432E+00   1.75678613302320E-05   2.64820729523799E-04
