# Time          5.0000E+00
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    1.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    2.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    3.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    4.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    5.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    6.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    7.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    8.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
    9.5000000E-01    8.8433506E+00    7.8308663E+00    8.2256116E-01    3.6096424E-01    6.3696292E-02    2.2471188E-01    2.8887520E+00    6.5615934E+00    7.5159798E-01    1.2457426E+00    4.5140656E+00    2.1553071E-02    2.7411975E-02    6.5843133E+01
