# Time          9.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    5.0000000E-02    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    1.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    2.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    3.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    4.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    5.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    6.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    7.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    8.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
    9.5000000E-01    2.6352889E-08    7.5706317E-07    2.0164710E-05    5.9477943E-06
