# Time          1.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    1.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    2.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    3.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    4.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    5.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    6.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    7.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    8.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
    9.5000000E-01   -1.0179703E+00   -6.2897716E+00   -1.1753755E+01   -2.9702338E+00   -4.3352653E+01    6.8817720E+00    3.9719213E+00   -5.1249098E+00   -3.1860764E-02    3.9586724E+00   -8.2133135E+00   -2.3036607E+00   -5.4187554E+00   -3.7054010E+02
