# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  8.76000E-06                7.30000473438737E-07   4.11500233627804E-06   5.97002887717960E-07   2.17000286497594E-07   3.43037333939321E-07   8.08000333614191E-07   4.00000326630614E-08   1.32700674304030E-14   5.80000014425622E+00   1.75671492135871E-05   2.64820731282747E-04
  1.75200E-05                7.30000947310650E-07   4.11500471391009E-06   5.97005775430204E-07   2.17000570810492E-07   3.43074667836066E-07   8.08000648517556E-07   4.00000653261229E-08   1.65457279405506E-14   5.80000071449205E+00   1.75671502093387E-05   2.64820731279581E-04
  2.62800E-05                7.30001421182120E-07   4.11500709155539E-06   5.97008663136730E-07   2.17000855122830E-07   3.43112001690233E-07   8.08000963413203E-07   4.00000979891844E-08   1.98131319182917E-14   5.80000128486205E+00   1.75671512046122E-05   2.64820731277440E-04
  3.50400E-05                7.30001895052977E-07   4.11500946919757E-06   5.97011550837538E-07   2.17001139435183E-07   3.43149335501820E-07   8.08001278308828E-07   4.00001306522459E-08   2.30819822306159E-14   5.80000185522521E+00   1.75671522001610E-05   2.64820731275227E-04
  4.38000E-05                7.30002368923221E-07   4.11501184683662E-06   5.97014438532626E-07   2.17001423747549E-07   3.43186669270828E-07   8.08001593204435E-07   4.00001633153073E-08   2.63514147625515E-14   5.80000242558147E+00   1.75671531959856E-05   2.64820731272942E-04
  6.13200E-05                7.30003316661303E-07   4.11501660210648E-06   5.97020213899976E-07   2.17001992372175E-07   3.43261336643003E-07   8.08002222993598E-07   4.00002286414303E-08   3.28904326649349E-14   5.80000356630361E+00   1.75671551885422E-05   2.64820731268370E-04
  9.63600E-05                7.30005212127658E-07   4.11502611259630E-06   5.97031764543360E-07   2.17003129621595E-07   3.43410670723982E-07   8.08003482571699E-07   4.00003592936763E-08   4.59707620794582E-14   5.80000584764025E+00   1.75671591780668E-05   2.64820731258081E-04
  1.66440E-04                7.30009003021142E-07   4.11504513337641E-06   5.97054865464790E-07   2.17005404121113E-07   3.43709336232456E-07   8.08006001727004E-07   4.00006205981680E-08   7.21328118245857E-14   5.80001040988284E+00   1.75671671747620E-05   2.64820731232919E-04
  3.06600E-04                7.30016584651231E-07   4.11508317413861E-06   5.97101065845738E-07   2.17009953122852E-07   3.44306656635419E-07   8.08011040034022E-07   4.00011432071510E-08   1.24452148602811E-13   5.80001953264519E+00   1.75671832387365E-05   2.64820731164260E-04
  5.86920E-04                7.30031747284156E-07   4.11515925247221E-06   5.97193460755430E-07   2.17019051137146E-07   3.45501254985047E-07   8.08021116633695E-07   4.00021884251147E-08   2.29094119394934E-13   5.80003777127835E+00   1.75672156490209E-05   2.64820730953605E-04
  1.14756E-03                7.30062070043041E-07   4.11531139638664E-06   5.97378227129581E-07   2.17037247208999E-07   3.47890281856120E-07   8.08041269775594E-07   4.00042788610327E-08   4.38378084433849E-13   5.80007422097596E+00   1.75672815989267E-05   2.64820730238949E-04
  2.26884E-03                7.30122705549386E-07   4.11561563328747E-06   5.97747665804735E-07   2.17073639525757E-07   3.52667656260761E-07   8.08081575829695E-07   4.00084597328312E-08   8.56946040237367E-13   5.80014701007607E+00   1.75674180160503E-05   2.64820727636254E-04
  4.51140E-03                7.30243936647788E-07   4.11622390404151E-06   5.98486164511285E-07   2.17146424851395E-07   3.62219687508094E-07   8.08162187019742E-07   4.00168214762699E-08   1.69408190750513E-12   5.80029214693367E+00   1.75677089192540E-05   2.64820717737404E-04
  8.99652E-03                7.30486240238272E-07   4.11743963867228E-06   5.99961628323933E-07   2.17291998270529E-07   3.81312877838394E-07   8.08323405732281E-07   4.00335449624551E-08   3.36835320950063E-12   5.80058065396981E+00   1.75683629991272E-05   2.64820679166367E-04
  1.79668E-02                7.30970221393856E-07   4.11986792288412E-06   6.02906265894296E-07   2.17583156175187E-07   4.19455750986080E-07   8.08645828527681E-07   4.00669919315824E-08   6.71689303445171E-12   5.80115059069264E+00   1.75699602334306E-05   2.64820526935071E-04
