# Time          7.0000E+01
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    1.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    2.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    3.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    4.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    5.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    6.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    7.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    8.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
    9.5000000E-01    2.4097580E+01    2.0735729E+01    5.3658710E-01    1.1583567E+00    1.1604188E-02    5.7089215E-01    9.8374021E+00    1.6732197E+01    2.3220344E+00    9.0988159E+00    1.1873979E+01    6.7032524E-01    7.1861703E-02    2.2826363E+00
