# Time          9.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    5.0000000E-02    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    1.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    2.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    3.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    4.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    5.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    6.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    7.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    8.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
    9.5000000E-01    1.7471381E-10    1.3143140E-08    1.5505911E-08    1.1247675E-08
