# Time          7.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    1.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    2.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    3.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    4.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    5.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    6.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    7.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    8.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
    9.5000000E-01   -2.2018734E-01   -5.8877461E+00   -1.2685321E+01   -2.1882094E+00   -3.5619177E+01    4.7748357E+00    2.1378440E+00   -1.0785681E+01   -9.6490667E-01    2.9381365E+00   -1.1092176E+01    1.7416628E-01   -6.1139986E+00   -1.0985189E+02
