# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  8.76000E-06                7.30000789394725E-07   4.11499869172210E-06   5.97003862502970E-07   2.17000569896524E-07   3.43038150488710E-07   8.08002177623268E-07   4.00000310469698E-08   1.18910230323634E-14   5.80000038309133E+00   1.75671473155911E-05   2.64820735471627E-04
  1.75200E-05                7.30001629552097E-07   4.11500138934775E-06   5.97007724998858E-07   2.17000733568690E-07   3.43076300928809E-07   8.08002733127429E-07   4.00000620939395E-08   1.37799605709246E-14   5.80000116288398E+00   1.75671479747542E-05   2.64820735467766E-04
  2.62800E-05                7.30002469729705E-07   4.11500408868010E-06   5.97011587487670E-07   2.17000897070704E-07   3.43114451320296E-07   8.08003287934839E-07   4.00000931409094E-08   1.56691761329820E-14   5.80000194281235E+00   1.75671486338433E-05   2.64820735464371E-04
  3.50400E-05                7.30003309905842E-07   4.11500678800866E-06   5.97015449969399E-07   2.17001060572563E-07   3.43152601663170E-07   8.08003842741569E-07   4.00001241878792E-08   1.75585244103360E-14   5.80000272273704E+00   1.75671492929904E-05   2.64820735460937E-04
  4.38000E-05                7.30004150080503E-07   4.11500948733272E-06   5.97019312444045E-07   2.17001224074342E-07   3.43190751957431E-07   8.08004397547929E-07   4.00001552348490E-08   1.94479424793731E-14   5.80000350265799E+00   1.75671499521956E-05   2.64820735457462E-04
  6.13200E-05                7.30005830430981E-07   4.11501488652038E-06   5.97027037365151E-07   2.17001551022160E-07   3.43267052355900E-07   8.08005506932310E-07   4.00002173287885E-08   2.32299599451069E-14   5.80000506253166E+00   1.75671512707950E-05   2.64820735450519E-04
  9.63600E-05                7.30009191108286E-07   4.11502568482401E-06   5.97042487094590E-07   2.17002204916466E-07   3.43419652392637E-07   8.08007725695198E-07   4.00003415166678E-08   3.08138175390706E-14   5.80000818222426E+00   1.75671539089225E-05   2.64820735435996E-04
  1.66440E-04                7.30015912368272E-07   4.11504728114358E-06   5.97073386102415E-07   2.17003512699836E-07   3.43724849425381E-07   8.08012163197850E-07   4.00005898924258E-08   4.59014959045650E-14   5.80001442139051E+00   1.75671591888920E-05   2.64820735404404E-04
  3.06600E-04                7.30029354509792E-07   4.11509047263211E-06   5.97135182313908E-07   2.17006128245627E-07   3.44335231328469E-07   8.08021038110657E-07   4.00010866439421E-08   7.61382799689067E-14   5.80002689884719E+00   1.75671697636889E-05   2.64820735331038E-04
  5.86920E-04                7.30056237279287E-07   4.11517685100753E-06   5.97258767520947E-07   2.17011359253407E-07   3.45555946489404E-07   8.08038787566302E-07   4.00020801469739E-08   1.36627193835894E-13   5.80005185025760E+00   1.75671909727148E-05   2.64820735143575E-04
  1.14756E-03                7.30109996766333E-07   4.11534958935850E-06   5.97505909076448E-07   2.17021820933925E-07   3.47997182265018E-07   8.08074284998348E-07   4.00040671530342E-08   2.57528691860341E-13   5.80010173906875E+00   1.75672336284943E-05   2.64820734605728E-04
  2.26884E-03                7.30217491550413E-07   4.11569499251445E-06   5.98000076794818E-07   2.17042742955918E-07   3.52878875908630E-07   8.08145273949768E-07   4.00080411651438E-08   4.99388807502038E-13   5.80020146066999E+00   1.75673198909625E-05   2.64820732878349E-04
  4.51140E-03                7.30432384500478E-07   4.11638550506984E-06   5.98987950991604E-07   2.17084581652643E-07   3.62639153780010E-07   8.08287228236104E-07   4.00159891893143E-08   9.83109036527209E-13   5.80040067992853E+00   1.75674962195229E-05   2.64820726816868E-04
  8.99652E-03                7.30861785061225E-07   4.11776535856549E-06   6.00961857026335E-07   2.17168237728175E-07   3.82147289502219E-07   8.08571042615653E-07   4.00318852374421E-08   1.95054933473809E-12   5.80079822378708E+00   1.75678640910317E-05   2.64820704267166E-04
  1.79668E-02                7.31719053847610E-07   4.12052040625122E-06   6.04902319769825E-07   2.17335465173880E-07   4.21114020822692E-07   8.09138296774914E-07   4.00636773326917E-08   3.88542889351696E-12   5.80158974172159E+00   1.75686606907119E-05   2.64820617462016E-04
  3.59072E-02                7.33427533604765E-07   4.12601207954579E-06   6.12753997585509E-07   2.17669585728809E-07   4.98850423739748E-07   8.10271323899991E-07   4.01272615179499E-08   7.75518136216179E-12   5.80315856789839E+00   1.75704973091941E-05   2.64820277038625E-04
  7.17882E-02                7.36820823905976E-07   4.13692342617292E-06   6.28341377575160E-07   2.18336524659906E-07   6.53543496255845E-07   8.12531588282976E-07   4.02544298577522E-08   1.54946401708385E-11   5.80623991513304E+00   1.75751441557054E-05   2.64818929021526E-04
  1.43550E-01                7.43517071964547E-07   4.15847112210952E-06   6.59057376220086E-07   2.19665464215411E-07   9.59873998173556E-07   8.17029994786086E-07   4.05087663365353E-08   3.09732050572748E-11   5.81218131277877E+00   1.75883316438345E-05   2.64813565009378E-04
  2.87074E-01                7.56580856827636E-07   4.20056298376068E-06   7.18645696189070E-07   2.22305590210230E-07   1.56074417362501E-06   8.25945988830130E-07   4.10174378674538E-08   6.19277382016995E-11   5.82320491111668E+00   1.76302749232554E-05   2.64792171448685E-04
  5.74122E-01                7.81627838322398E-07   4.28143056617631E-06   8.29673772532497E-07   2.27529166017642E-07   2.71776491853564E-06   8.43509600685743E-07   4.20347702432167E-08   1.23816409943284E-10   5.84195788325336E+00   1.77763539453505E-05   2.64706785124677E-04
