# Time          2.3000E+02
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    1.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    2.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    3.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    4.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    5.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    6.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    7.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    8.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
    9.5000000E-01    2.5463424E+01    1.1646865E+01    4.5511733E-01    4.6020041E-01    6.8840535E-03    3.3190311E-01    7.1436950E+00    1.5184225E+01    1.8775931E+00    8.6819439E+00    1.5475008E+01    7.3583740E-01    6.7515474E-02    1.2469788E+01
