# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    5.0000000E-02    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    1.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    2.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    3.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    4.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    5.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    6.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    7.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    8.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
    9.5000000E-01    1.2687897E-08    6.9613203E-07    2.5144855E-06    7.7983742E-07
