# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC         
    5.0000000E-02   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    1.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    2.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    3.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    4.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    5.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    6.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    7.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    8.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
    9.5000000E-01   -2.4693855E-01   -5.4232070E+00   -1.2984568E+01   -1.8738246E+00   -4.0275855E+01    5.1982383E+00    3.4784571E+00   -9.1800914E+00    8.9984548E-02    3.9108624E+00   -1.0134572E+01    1.4741508E-01   -6.0881123E+00   -1.8946975E+02
